Run_ID,As_Of,Item_ID,Source_ID,Organisation_Key,Organisation,Previous_Sector,Resolved_Sector,Status,Reason,Confidence,Evidence,Evidence_URL,Policy_Version
,,ITM-4cc8816fbf2bf2c7,CYBERATTAQUE_ORG,actis location,Actis Location,Inconnu,Services aux entreprises,referenced,REFERENCE_EXACT,0.90,Location de matériels de manutention pour les professionnels,https://www.actis-location.com/,2026-09-05.sector.2
,,ITM-df47b6d6c045ee30,FRENCHBREACHES,actis location,Actis Location,Inconnu,Services aux entreprises,referenced,REFERENCE_EXACT,0.90,Location de matériels de manutention pour les professionnels,https://www.actis-location.com/,2026-09-05.sector.2
,,ITM-af552eefe974f150,CYBERATTAQUE_ORG,association des maires de france,Association des maires de France,Inconnu,Association / Syndicat,referenced,REFERENCE_EXACT,0.90,Audit 2026-09-05 : Association représentative des maires et présidents d'intercommunalité ; distincte d'une administration et de l'Autorité des marchés financiers.,https://www.amf.asso.fr/,2026-09-05.sector.2
,,ITM-fef84eaa6ff9af51,FRENCHBREACHES,association des maires de france,Association des maires de France,Inconnu,Association / Syndicat,referenced,REFERENCE_EXACT,0.90,Audit 2026-09-05 : Association représentative des maires et présidents d'intercommunalité ; distincte d'une administration et de l'Autorité des marchés financiers.,https://www.amf.asso.fr/,2026-09-05.sector.2
,,ITM-49326d4ea5028690,FRENCHBREACHES,bcti,BCTI,Inconnu,Construction / BTP,referenced,REFERENCE_EXACT,0.90,Audit 2026-09-05 : Service de mise en relation avec des experts pour les diagnostics immobiliers et audits énergétiques ; classement dans les services immobiliers couverts par Construction / BTP.,https://www.bcti.fr/diagnostics-immobiliers/,2026-09-05.sector.2
,,ITM-e96eac1931369ebd,CYBERATTAQUE_ORG,bcti,BCTI,Inconnu,Construction / BTP,referenced,REFERENCE_EXACT,0.90,Audit 2026-09-05 : Service de mise en relation avec des experts pour les diagnostics immobiliers et audits énergétiques ; classement dans les services immobiliers couverts par Construction / BTP.,https://www.bcti.fr/diagnostics-immobiliers/,2026-09-05.sector.2
,,ITM-7597af39837701fa,FRENCHBREACHES,bio en hauts de france,Bio en Hauts-de-France,Inconnu,Inconnu,unknown,NO_ACTIVITY_EVIDENCE,0.00,,,2026-09-05.sector.2
,,ITM-b748ef8a5951e965,CYBERATTAQUE_ORG,bio en hauts de france,Bio en Hauts-de-France,Inconnu,Agriculture / Agroalimentaire,inferred,ACTIVITY_RULE,0.80,Bio en Hauts-de-France intervient dans l’écosystème régional de l’agriculture biologique.,https://www.cyberattaque.org/bio-en-hauts-de-france-des-donnees-personnelles-compromises-apres-une-cyberattaque/,2026-09-05.sector.2
,,ITM-90c715832f8f1e2e,FRENCHBREACHES,carte de peche,Carte De Pêche,Association / Syndicat,Association / Syndicat,reported,LEGACY_KNOWN_SECTOR,0.50,Association / Syndicat,https://frenchbreaches.com/alertes/carte-de-p-che-mtfr2p7gwirp63lb8q,2026-09-05.sector.2
,,ITM-d1a4fce90cb663c6,CYBERATTAQUE_ORG,cartedepeche,CarteDePeche.fr,Association / Syndicat,Association / Syndicat,reported,LEGACY_KNOWN_SECTOR,0.50,Association / Syndicat,https://www.cyberattaque.org/cartedepeche-fr-les-donnees-dadherents-dont-des-mineurs-diffusees/,2026-09-05.sector.2
,,ITM-ae43ef50305a9615,FRENCHBREACHES,cgt educ action,CGT Éduc’Action,Inconnu,Inconnu,unknown,NO_ACTIVITY_EVIDENCE,0.00,,,2026-09-05.sector.2
,,ITM-790d2923d5ed5cfa,CYBERATTAQUE_ORG,cgt educ action creteil,CGT Éduc’Action Créteil,Association / Syndicat,Association / Syndicat,reported,LEGACY_KNOWN_SECTOR,0.50,Association / Syndicat,https://www.cyberattaque.org/cgt-educaction-creteil-deux-sites-pirates-avant-la-rentree/,2026-09-05.sector.2
