Golden_ID,Organisation,Reference_Date,Match_Status,Match_Strategy,Incident_ID_Snapshot,Incident_ID_Current,Secteur_REF,Secteur_CW,Secteur_Match,Menace_REF,Menace_CW,Menace_Match,Localisation_REF,Localisation_CW,Localisation_Match
GOLD-0001,Cravero Motoculture,2026-08-16,MATCHED,snapshot_id,INC-B99CF5D2A342,INC-B99CF5D2A342,Commerce / Distribution,Commerce / Distribution,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0002,EVY,2026-08-16,MATCHED,snapshot_id,INC-9F3966170CB4,INC-9F3966170CB4,Finance / Assurance,Finance / Assurance,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0003,France-Casse,2026-08-16,MATCHED,snapshot_id,INC-616D0ECF3BB3,INC-616D0ECF3BB3,Commerce / Distribution,Commerce / Distribution,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0004,Fédération Française de Danse,2026-08-16,MATCHED,source_url,INC-C32E5C6268C,INC-C32E5C6268C3,Sport,Sport,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0005,Fédération Française de Motocyclisme,2026-08-16,MATCHED,snapshot_id,INC-8BB56F33DD82,INC-8BB56F33DD82,Sport,Sport,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0006,Fédération Française de Karaté,2026-08-15,MATCHED,snapshot_id,INC-2EC7AB82A87C,INC-2EC7AB82A87C,Sport,Sport,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0007,DGFiP,2026-08-14,MATCHED,snapshot_id,INC-FDB7ABF9F4D9,INC-FDB7ABF9F4D9,Administration / Collectivité,Administration / Collectivité,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0008,Scalingo,2026-08-13,MATCHED,snapshot_id,INC-63CD7177BA9A,INC-63CD7177BA9A,Numérique / Technologie,Numérique / Technologie,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0009,AEFE,2026-08-11,MATCHED,snapshot_id,INC-A298A6DBBB1B,INC-A298A6DBBB1B,Administration / Collectivité,Administration / Collectivité,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0010,Santé publique France,2026-08-11,MATCHED,snapshot_id,INC-601D5216F01D,INC-601D5216F01D,Administration / Collectivité,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0011,Fédération Française de Handball,2026-08-10,MATCHED,snapshot_id,INC-3879A78A2B32,INC-3879A78A2B32,Sport,Sport,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0012,Mairie de Sixt-sur-Aff,2026-08-10,MATCHED,snapshot_id,INC-3ABFF451EA33,INC-3ABFF451EA33,Administration / Collectivité,Administration / Collectivité,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0013,Ville de Gagny,2026-08-10,MATCHED,snapshot_id,INC-FB41041C22B5,INC-FB41041C22B5,Administration / Collectivité,Administration / Collectivité,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0014,Bureau Vallée,2026-08-09,MATCHED,snapshot_id,INC-2972BA18B0BD,INC-2972BA18B0BD,Commerce / Distribution,Commerce / Distribution,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0015,Le Mans FC,2026-08-09,MATCHED,snapshot_id,INC-1645372F6E23,INC-1645372F6E23,Sport,Sport,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0016,BlgCloud,2026-08-08,MATCHED,snapshot_id,INC-1DC7E716ACF6,INC-1DC7E716ACF6,Numérique / Technologie,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0017,Mutuelle Générale de Prévoyance,2026-08-08,MATCHED,snapshot_id,INC-4E70364FA984,INC-4E70364FA984,Finance / Assurance,Finance / Assurance,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0018,AFPA,2026-08-07,MATCHED,snapshot_id,INC-F495CED1DF70,INC-F495CED1DF70,Éducation / Formation,Inconnu,False,Compromission de compte / messagerie,Compromission de compte / messagerie,True,France métropolitaine,France métropolitaine,True
GOLD-0019,Intermarché,2026-08-05,MATCHED,snapshot_id,INC-7888D67D988E,INC-7888D67D988E,Commerce / Distribution,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0020,Stade Français Paris,2026-08-05,MATCHED,snapshot_id,INC-51115A21B49B,INC-51115A21B49B,Sport,Sport,True,Ransomware,Ransomware,True,France métropolitaine,France métropolitaine,True
GOLD-0021,Mairie de Rinxent,2026-08-03,MATCHED,snapshot_id,INC-27B5792965C7,INC-27B5792965C7,Administration / Collectivité,Administration / Collectivité,True,Ransomware,Ransomware,True,France métropolitaine,Inconnu,False
GOLD-0022,ENT Seine-et-Marne,2026-08-02,MISSING,,INC-2B603127BE7C,,Éducation / Formation,,False,Fuite de données,,False,France métropolitaine,,False
GOLD-0023,CCI Nice Côte d'Azur,2026-08-01,MATCHED,snapshot_id,INC-4912EE5516BF,INC-4912EE5516BF,Administration / Collectivité,Inconnu,False,Compromission de compte / messagerie,Compromission de compte / messagerie,True,France métropolitaine,Inconnu,False
GOLD-0024,CY Cergy Paris Université,2026-08-01,MATCHED,snapshot_id,INC-D398A12C63DE,INC-D398A12C63DE,Éducation / Formation,Éducation / Formation,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0025,Ministère de l'Éducation nationale,2026-07-31,MATCHED,snapshot_id,INC-938337DBDA6F,INC-938337DBDA6F,Administration / Collectivité,Administration / Collectivité,True,Compromission de compte / messagerie,Malware,False,France métropolitaine,France métropolitaine,True
GOLD-0026,ENGIE Green,2026-07-30,MATCHED,snapshot_id,INC-9B6930A83850,INC-9B6930A83850,Énergie / Utilities,Inconnu,False,Intrusion,Ransomware,False,France métropolitaine,France métropolitaine,True
GOLD-0027,Lire Demain,2026-07-29,MATCHED,snapshot_id,INC-FFB6C7F47B15,INC-FFB6C7F47B15,Commerce / Distribution,Commerce / Distribution,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0028,Location-Etudiant.fr,2026-07-28,MATCHED,snapshot_id,INC-43AC9A4C158B,INC-43AC9A4C158B,Construction / BTP,Construction / BTP,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0029,Mairie d'Injoux-Génissiat,2026-07-28,MATCHED,snapshot_id,INC-920654387FF9,INC-920654387FF9,Administration / Collectivité,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0030,Planity,2026-07-28,MATCHED,snapshot_id,INC-5548AD317C63,INC-5548AD317C63,Numérique / Technologie,Commerce / Distribution,False,Fuite de données,Compromission de compte / messagerie,False,France métropolitaine,France métropolitaine,True
GOLD-0031,Nantes Université,2026-07-28,MISSING,,INC-C413DE37E4F0,,Éducation / Formation,,False,Fuite de données,,False,France métropolitaine,,False
GOLD-0032,Verspieren,2026-07-27,MATCHED,snapshot_id,INC-904D84D2D2A9,INC-904D84D2D2A9,Finance / Assurance,Finance / Assurance,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0033,Batipro 33,2026-07-26,MATCHED,snapshot_id,INC-C80F4470E4D1,INC-C80F4470E4D1,Éducation / Formation,Inconnu,False,Intrusion,Fuite de données,False,France métropolitaine,France métropolitaine,True
GOLD-0034,Ministère de l'Intérieur,2026-07-26,MATCHED,snapshot_id,INC-9CEB5476F2D6,INC-9CEB5476F2D6,Administration / Collectivité,Administration / Collectivité,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0035,Driveco,2026-07-25,MATCHED,snapshot_id,INC-C6A499CF97F1,INC-C6A499CF97F1,Énergie / Utilities,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0036,Alpissimmo,2026-07-24,MATCHED,snapshot_id,INC-F4E5D8AEDD34,INC-F4E5D8AEDD34,Construction / BTP,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0037,Centre Hospitalier de Chaumont,2026-07-24,MATCHED,snapshot_id,INC-1EEA7737B334,INC-1EEA7737B334,Santé,Santé,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0038,SKOLAE,2026-07-24,MATCHED,snapshot_id,INC-65B2FFF8F199,INC-65B2FFF8F199,Éducation / Formation,Éducation / Formation,True,Intrusion,Fuite de données,False,France métropolitaine,France métropolitaine,True
