Severity,Code,Golden_ID,Related_Golden_ID,Field,Current_Value,Suggested_Value,Message
WARN,GENERIC_EVIDENCE,GOLD-0001,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0002,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0003,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0004,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0004,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0005,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0005,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0006,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0006,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0006,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0007,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0008,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0009,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0010,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0011,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0012,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0012,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0012,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0013,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0014,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0015,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0015,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0015,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0016,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0017,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0018,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,THREAT_POLICY_MISMATCH,GOLD-0018,,Menace,Compromission de compte / messagerie,Fuite de données,la preuve textuelle suggère une classe spécifique prioritaire différente
WARN,GENERIC_EVIDENCE,GOLD-0019,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0020,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0021,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0022,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0022,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0022,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0023,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0024,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0024,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0024,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0025,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0026,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0027,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0027,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
