Pair_Key,Left_Item_ID,Right_Item_ID,Input_Hash,Model,Prompt_Version,Same_Organisation,Same_Incident,Confidence,Evidence,Reason,Matched_Facts_JSON,Conflicting_Facts_JSON,Input_Tokens,Cached_Input_Tokens,Output_Tokens,Total_Tokens,Estimated_Cost_USD
ITM-013c10551a007865|ITM-09aba9c6a6aba1bd,ITM-013c10551a007865,ITM-09aba9c6a6aba1bd,655b748f1c531dac4cb01cab64047b409f4761f91dfe3221e667a96866bc6b8f,gpt-4o-mini,2026-08-28.1,UNKNOWN,UNKNOWN,0.4000,Insufficient clear links between the two incidents. Variations in organisation naming and detailing of claims make a definitive statement challenging.,"Organisations are named differently, leading to uncertainty in entity identity.",[],[],,,,,
ITM-013c10551a007865|ITM-b2df95e1f1121284,ITM-013c10551a007865,ITM-b2df95e1f1121284,8054b3de0074ea85714faef16c4700726afdb61acffcfe6cb85af30364010393,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.7500,"Underlying themes of different events, similar entity, but diverging attacks reported define them as separate incidents.",Diverse attack details lead to contrasting incidents despite stemming from the same entity.,"[""Organisation_Raw: Netim"", ""Date: 2026-08-23"", ""Claim_Status: claimed""]","[""Threat Actor named differs, presenting varied nature of attack""]",,,,,
ITM-014806ad25b64a9f|ITM-bcdc630a43bb7e0a,ITM-bcdc630a43bb7e0a,ITM-014806ad25b64a9f,28951c326d6c3a4c9ad8b90b3a9e6d58490d6bbfd9a43fd07e5708d393245b6d,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8000,Substantial differences in the nature of data involved indicate these are separate incidents.,Different types of data leakage describe separate events.,"[""Organisation_Raw: Marie Blachère"", ""Date: 2026-08-29"", ""Claim_Status: confirmed""]","[""Impact: risque élevé d'usurpation d'identité vs données sensibles mises en vente""]",,,,,
ITM-041e36c542f6c37f|ITM-776a3c8116ba0604,ITM-041e36c542f6c37f,ITM-776a3c8116ba0604,418e3f037fc2ac8a98128389511157d880ab220f72346780ee161f6f6616a91c,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8500,The last incident claims differ in affected data types even if both are under the same organisation.,Describe differing incidents under the same organization.,"[""Organisation_Raw: Frères Toque"", ""Date: 2026-08-29""]","[""Affected Data Types differentiate per source""]",,,,,
ITM-041e36c542f6c37f|ITM-ec6ad7ad1bc83e4d,ITM-041e36c542f6c37f,ITM-ec6ad7ad1bc83e4d,4944a7da6feabbdec3b261187402741f8e2f0877a42ce974a0b43a302b511049,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8500,Deux descriptions distinctes d'événements séparés.,"Malgré l'identité de l'organisation, les incidents sont différents.","[""Organisation_Raw : Frères Toque"", ""Date : 2026-08-29""]",[],,,,,
ITM-0498c7b472b003ac|ITM-e6adc4fb818b5817,ITM-0498c7b472b003ac,ITM-e6adc4fb818b5817,2653f514fe21c67a8cd2c8e211e667597ef45f56a292508130c27d6a6bf25446,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.7000,Mismatch in affected numbers leads to different incident profiles originating from the same entity.,Industry variations in affected data amplify chances they are separate incidents.,"[""Organisation_Raw: Solimut Mutuelle"", ""Affected_Count Raw: près de 1,25 million d’assurés vs. 770 000 comptes"", ""Claim_Status: confirmed""]","[""Discrepancies in affected count are substantial""]",,,,,
ITM-04d6fe7da62a4060|ITM-64485c5121289c6d,ITM-04d6fe7da62a4060,ITM-64485c5121289c6d,e5e95de14ecb9407c24d6a400049cd96365c56df6044caf7f7fc4f20beb0b9f9,gpt-4o-mini,2026-08-28.1,SAME,UNKNOWN,0.6000,"Claim status varies between sources, with uncertain conflict directions creating ambiguity.",Impact and details remain too vague to differentiate confidently between these incidents.,"[""Organisation_Raw: Santé publique France"", ""Date: 2026-08-11""]",[],,,,,
ITM-050f3ab72fc2e7e3|ITM-ed7e34492c1a1059,ITM-050f3ab72fc2e7e3,ITM-ed7e34492c1a1059,88249ee7d86e9440415bce7cbb9f091983cd8b619c287440b4e2a2012ca294c4,gpt-4o-mini,2026-08-28.1,SAME,UNKNOWN,0.7000,"Les deux référentiels indiquent une cyberattaque, mais manquent de détails pour confirmer un incident commun.",Insuffisance de données pour trancher sur un incident ou non.,"[""Organisation_Raw : Lingor"", ""Date : 2026-08-28""]",[],,,,,
ITM-057b52f6d1ab1f67|ITM-7abef61056c1dc74,ITM-057b52f6d1ab1f67,ITM-7abef61056c1dc74,bacb571d26bbc5730e977c0013c0e78b52a1fbfcdfa84885cd0da750d065b7bd,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.7000,Varied data concerns but clear commonality in the overarching entity make them likely different incidents.,Inconsistencies in leakage detail suggest separate incidents may exist.,"[""Organisation_Raw: Duvignau40"", ""Date: 2026-08-09""]","[""Claims detail different types of data being leaked"", ""No significant overlap between data types stated""]",,,,,
ITM-0949c40b0da2e000|ITM-2dcf7af970293595,ITM-0949c40b0da2e000,ITM-2dcf7af970293595,ee580b039bc45c8b16c21d305a877a5c060a41e6bc88347330f2642d1d0bd11b,gpt-4o-mini,2026-08-28.1,SAME,DIFFERENT,0.8000,"While essence regarding risk remains similar, definitive divergence in detail points to varying incidents.",Mismatch in particulars strengthens conclusion that these are two different occurrences.,"[""Organisation_Raw: Euskal Moneta"", ""Date: 2026-08-27""]","[""Exact numeric details vary slightly, but contexts differ significantly""]",,,,,
