Run_ID,As_Of,Mode,Status,Enabled,Disabled_Reason,Model,Requested_Model,Effective_Model,Prompt_Version,Candidates_Generated,Candidates_Selected,Candidates_Not_Reviewed_Capacity,Pairs_Reviewed,Incident_Pairs_Resolved,LLM_Calls,LLM_Calls_Succeeded,LLM_Calls_Failed,LLM_Cache_Hits,LLM_Same_Organisation,LLM_Same_Incident,LLM_Different,LLM_Unknown,Org_Aliases_Applied,Incident_Decisions_Applied,Review_Required,LLM_Input_Tokens,LLM_Output_Tokens,LLM_Cost_USD,LLM_Duration_Seconds
RUN-20260912T164223,2026-09-12T16:42:23.051822+04:00,MAJ,REVIEW_REQUIRED,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-11.1,3,3,0,3,0,1,1,0,0,0,0,3,0,0,0,1,4309,781,0.002639,8.555
RUN-20260913T162256,2026-09-13T16:22:56.304701+04:00,MAJ,CAPACITY_LIMIT,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,12,9,3,9,1,1,1,0,0,1,1,8,0,1,1,11,13280,1887,0.007094,20.558
RUN-20260914T172536,2026-09-14T17:25:36.408054+04:00,MAJ,LLM_ERROR,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,10,4,0,6,0,1,0,1,6,0,0,6,0,0,0,12,0,0,0.000000,0.000
RUN-20260915T161712,2026-09-15T16:17:12.204443+04:00,MAJ,CAPACITY_LIMIT,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,15,8,1,6,0,1,0,1,6,0,0,6,0,0,0,17,0,0,0.000000,0.000
RUN-20260916T161621,2026-09-16T16:16:21.852957+04:00,MAJ,CAPACITY_LIMIT,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,22,8,8,14,1,1,1,0,6,3,1,11,2,1,1,19,12436,1517,0.006143,26.747
RUN-20260917T161605,2026-09-17T16:16:05.229738+04:00,MAJ,CAPACITY_LIMIT,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,22,8,7,15,1,1,1,0,7,1,1,14,0,1,1,21,13101,1970,0.007215,20.173
RUN-20260918T155553,2026-09-18T15:55:53.244402+04:00,MAJ,CAPACITY_LIMIT,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,22,8,5,17,1,1,1,0,9,1,1,15,1,1,1,25,12414,1384,0.005871,18.354
RUN-20260919T154034,2026-09-19T15:40:34.135294+04:00,MAJ,REVIEW_REQUIRED,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,22,7,0,22,1,1,1,0,15,1,1,21,0,1,1,23,11072,1531,0.005830,18.804
RUN-20260920T155325,2026-09-20T15:53:25.890309+04:00,MAJ,REVIEW_REQUIRED,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,18,3,0,18,0,1,1,0,15,0,0,18,0,0,0,25,4669,1041,0.003249,8.090
RUN-20260921T172540,2026-09-21T17:25:40.803837+04:00,MAJ,REVIEW_REQUIRED,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,18,3,0,18,0,1,1,0,15,0,0,18,0,0,0,28,5437,767,0.002893,7.798
RUN-20260922T161007,2026-09-22T16:10:07.104972+04:00,MAJ,CAPACITY_LIMIT,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,27,8,1,26,0,1,1,0,18,0,0,26,0,0,0,37,12834,1835,0.006879,20.469
RUN-20260923T162210,2026-09-23T16:22:10.938160+04:00,MAJ,CAPACITY_LIMIT,1,,gpt-5-mini,gpt-5-nano,gpt-5-mini,2026-09-13.1,27,7,2,18,0,0,0,0,18,0,0,18,0,0,0,45,0,0,0.000000,0.000
