Risk_Type,Reason_Code,Days_Apart,Shared_Company_ID,Left_Item_ID,Left_Source_ID,Left_Source_Item_ID,Left_Date,Left_Organisation,Left_Organisation_Key,Left_Company_ID,Left_Title,Left_URL,Right_Item_ID,Right_Source_ID,Right_Source_Item_ID,Right_Date,Right_Organisation,Right_Organisation_Key,Right_Company_ID,Right_Title,Right_URL
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,3,,ITM-377da6b2e065b8fa,BONJOURLAFUITE,,2026-01-12,Relais Colis,relais colis,785792433,Relais Colis,https://bonjourlafuite.eu.org/img/relaiscolis.png,ITM-4ddbde07eb7bc484,BONJOURLAFUITE,,2026-01-15,Relais Colis,relais colis,785792433,Relais Colis,https://bonjourlafuite.eu.org/img/relaiscolis-2.jpg
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-1d79908044660863,RANSOMWARE_LIVE,,2026-02-07,voyages-robin,voyages robin,,voyages-robin revendiqué par qilin,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=64eec247-e1fb-3bfa-a404-13c12a1911df,ITM-a2dfa9d484e90c2e,RANSOMWARE_LIVE,,2026-02-08,Voyages Robin,voyages robin,,Voyages Robin revendiqué par qilin,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=64eec247-e1fb-3bfa-a404-13c12a1911df
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_ALIAS,1,,ITM-3cfffe553d2b37e7,RANSOMWARE_LIVE,,2026-03-01,LISI Group,lisi,,LISI Group revendiqué par qilin,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=b6bd0e56-ab88-34b1-94d8-8ca7e0e0eee6,ITM-5a10a8949c397f2d,BONJOURLAFUITE,,2026-03-02,Lisi,lisi,,Lisi,https://bonjourlafuite.eu.org/img/lisi.png
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,3,,ITM-0146aaed9f0a5383,RANSOMWARE_LIVE,,2026-03-11,CFTC Métallurgie,cftc metallurgie,,CFTC Métallurgie revendiqué par nightspire,https://www.cftc-metallurgie.com,ITM-5e2dc4d4478dbb5d,RANSOMWARE_LIVE,,2026-03-14,CFTC Metallurgie,cftc metallurgie,,CFTC Metallurgie revendiqué par nightspire,https://www.cftc-metallurgie.com
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_ALIAS,3,,ITM-43ac91aa02e03ec9,BONJOURLAFUITE,,2026-03-20,La Mutuelle Familiale,mutuelle familiale,,La Mutuelle Familiale,https://www.argusdelassurance.com/assurance-de-personnes/cyber-attaque-une-mutuelle-victime-dune-intrusion-plus-113-000-assures-potentiellement-concernes.VNWUABFCXBFHRMZZXKFNZW7R3Q.html,ITM-79443a3771add68b,CYBERATTAQUE_ORG,76,2026-03-23,Mutuelle Familiale,mutuelle familiale,,Mutuelle Familiale : 113 000 assurés exposés après une intrusion,https://www.cyberattaque.org/mutuelle-familiale-113-000-assures-exposes-apres-une-intrusion/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-e9bd9c13ab5a1dce,BONJOURLAFUITE,,2026-03-21,Enseignement Catholique,enseignement catholique,,Enseignement Catholique,https://bonjourlafuite.eu.org/img/enseignement-catholique.png,ITM-12fddc4c0dc4222c,CYBERATTAQUE_ORG,71,2026-03-22,Enseignement catholique,enseignement catholique,,"Enseignement catholique : une cyberattaque expose 1,5 million de données",https://www.cyberattaque.org/enseignement-catholique-une-cyberattaque-expose-15-million-de-donnees/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,1,,ITM-b5326d76500a093f,CYBERATTAQUE_ORG,84,2026-03-23,Éducation nationale,education nationale,110043015,Éducation nationale : 243 000 agents victimes d’un piratage massif,https://www.cyberattaque.org/education-nationale-243-000-agents-victimes-dun-piratage-massif/,ITM-9486678c6e4228f0,BONJOURLAFUITE,,2026-03-24,Éducation Nationale,education nationale,110043015,Éducation Nationale,https://www.education.gouv.fr/incident-de-securite-affectant-les-donnees-de-certains-personnels-de-l-education-nationale-470657
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-ff7d3b2b47c6c4e0,BONJOURLAFUITE,,2026-03-24,CROUS,crous,523806735,CROUS,https://www.lescrous.fr/2026/03/exfiltration-de-donnees-provenant-du-site-mesrdv-etudiant-gouv-fr/,ITM-5a4a266d279fda15,CYBERATTAQUE_ORG,86,2026-03-24,Crous,crous,523806735,Crous : 770 000 étudiants touchés par une fuite massive,https://www.cyberattaque.org/crous-770-000-etudiants-touches-par-une-fuite-massive/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_CANONICAL_NAME,0,,ITM-26e4653c4fae2e20,BONJOURLAFUITE,,2026-03-25,Cerballiance,cerballiance,,Cerballiance,https://bonjourlafuite.eu.org/img/cerballiance-2.png,ITM-2b8c9b61526969e0,CYBERATTAQUE_ORG,94,2026-03-25,Cerballiance,cerballiance,,Cerballiance : des données médicales exposées après une cyberattaque,https://www.cyberattaque.org/cerballiance-des-donnees-medicales-exposees-apres-une-cyberattaque/
POSSIBLE_FALSE_MERGE,MERGE_REVIEW_WEAK_ALIAS,1,,ITM-deb9d620fde52f6c,BONJOURLAFUITE,,2026-03-27,Allo Pneus,allo pneus,,Allo Pneus,https://bonjourlafuite.eu.org/img/allopneus.png,ITM-a23e7f1a9ebc7036,CYBERATTAQUE_ORG,125,2026-03-28,Allopneus,allo pneus,,Allopneus : 453 000 clients exposés après une cyberattaque,https://www.cyberattaque.org/allopneus-453-000-clients-touches-par-une-fuite-massive/
