Organisation_Key,Organisation,Secteur,Localisation,Périmètre,Motif,URL_de_validation
dinum,DINUM,Administration / Collectivité,France métropolitaine,France,Direction interministérielle du numérique : administration centrale de l’État,https://www.numerique.gouv.fr/dinum/
mairie de les avirons,Mairie de Les Avirons,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de les avirons,Mairie de Les Avirons,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de les avirons,Mairie de Les Avirons,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de bras panon,Mairie de Bras-Panon,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de bras panon,Mairie de Bras-Panon,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de bras panon,Mairie de Bras-Panon,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de cilaos,Mairie de Cilaos,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de cilaos,Mairie de Cilaos,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de cilaos,Mairie de Cilaos,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de entre deux,Mairie de Entre-Deux,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de entre deux,Mairie de Entre-Deux,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de entre deux,Mairie de Entre-Deux,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de l etang sale,Mairie de L'Étang-Salé,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de l etang sale,Mairie de L'Étang-Salé,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de l etang sale,Mairie de L'Étang-Salé,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de la plaine des palmistes,Mairie de La Plaine-des-Palmistes,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de la plaine des palmistes,Mairie de La Plaine-des-Palmistes,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de la plaine des palmistes,Mairie de La Plaine-des-Palmistes,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de la possession,Mairie de La Possession,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de la possession,Mairie de La Possession,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de la possession,Mairie de La Possession,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de le port,Mairie de Le Port,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de le port,Mairie de Le Port,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de le port,Mairie de Le Port,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de le tampon,Mairie de Le Tampon,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de le tampon,Mairie de Le Tampon,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de le tampon,Mairie de Le Tampon,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de les trois bassins,Mairie de Les Trois-Bassins,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de les trois bassins,Mairie de Les Trois-Bassins,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de les trois bassins,Mairie de Les Trois-Bassins,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de petite ile,Mairie de Petite-Île,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de petite ile,Mairie de Petite-Île,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de petite ile,Mairie de Petite-Île,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de saint andre,Mairie de Saint-André,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de saint andre,Mairie de Saint-André,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de saint andre,Mairie de Saint-André,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de saint benoit,Mairie de Saint-Benoît,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de saint benoit,Mairie de Saint-Benoît,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de saint benoit,Mairie de Saint-Benoît,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de saint denis,Mairie de Saint-Denis,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de saint denis,Mairie de Saint-Denis,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de saint denis,Mairie de Saint-Denis,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de saint joseph,Mairie de Saint-Joseph,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de saint joseph,Mairie de Saint-Joseph,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de saint joseph,Mairie de Saint-Joseph,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de saint leu,Mairie de Saint-Leu,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de saint leu,Mairie de Saint-Leu,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de saint leu,Mairie de Saint-Leu,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de saint louis,Mairie de Saint-Louis,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de saint louis,Mairie de Saint-Louis,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de saint louis,Mairie de Saint-Louis,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de saint paul,Mairie de Saint-Paul,Administration / Collectivité,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
