Entity,Entity_Key,Territory,Type,Sector_Hint,Last_Queried,Query_Status,Items_Found,Last_Incident_Date,Last_Incident_ID
ANADEN,anaden,Comores,critique,Administration / Collectivité,,SKIPPED,0,,
Aéroport de Moroni,aeroport de moroni,Comores,critique,Transport / Logistique,,SKIPPED,0,,
Banque Centrale des Comores,banque centrale des comores,Comores,critique,Finance / Assurance,,SKIPPED,0,,
Comores Telecom,comores telecom,Comores,critique,Numérique / Technologie,,SKIPPED,0,,
Gouvernement des Comores,gouvernement des comores,Comores,critique,Administration / Collectivité,,SKIPPED,0,,
Port de Moroni,port de moroni,Comores,critique,Transport / Logistique,,SKIPPED,0,,
Société Nationale d'Électricité des Comores,societe nationale d electricite des comores,Comores,critique,Énergie / Utilities,,SKIPPED,0,,
Telma Comores,telma comores,Comores,critique,Numérique / Technologie,,SKIPPED,0,,
Mairie de Bras-Panon,mairie de bras panon,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Cilaos,mairie de cilaos,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Entre-Deux,mairie de entre deux,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de L'Étang-Salé,mairie de l etang sale,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de La Plaine-des-Palmistes,mairie de la plaine des palmistes,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de La Possession,mairie de la possession,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Le Port,mairie de le port,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Le Tampon,mairie de le tampon,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Les Avirons,mairie de les avirons,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Les Trois-Bassins,mairie de les trois bassins,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Petite-Île,mairie de petite ile,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Saint-André,mairie de saint andre,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Saint-Benoît,mairie de saint benoit,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Saint-Denis,mairie de saint denis,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Saint-Joseph,mairie de saint joseph,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Saint-Leu,mairie de saint leu,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Saint-Louis,mairie de saint louis,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Saint-Paul,mairie de saint paul,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Saint-Philippe,mairie de saint philippe,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Saint-Pierre,mairie de saint pierre,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Sainte-Marie,mairie de sainte marie,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Sainte-Rose,mairie de sainte rose,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Sainte-Suzanne,mairie de sainte suzanne,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Salazie,mairie de salazie,La Réunion,commune,Administration / Collectivité,,SKIPPED,0,,
Air Austral,air austral,La Réunion,critique,Transport / Logistique,,SKIPPED,0,2026-05-31,INC-47B24BB72BA7
Aéroport de La Réunion Roland-Garros,aeroport de la reunion roland garros,La Réunion,critique,Transport / Logistique,,SKIPPED,0,,
Aéroport de Pierrefonds,aeroport de pierrefonds,La Réunion,critique,Transport / Logistique,,SKIPPED,0,,
CAF de La Réunion,caf de la reunion,La Réunion,critique,Administration / Collectivité,,SKIPPED,0,,
CCI Réunion,cci reunion,La Réunion,critique,Commerce / Distribution,,SKIPPED,0,,
CGSS Réunion,cgss reunion,La Réunion,critique,Administration / Collectivité,,SKIPPED,0,,
CHU de La Réunion,chu de la reunion,La Réunion,critique,Santé,,SKIPPED,0,,
CISE Réunion,cise reunion,La Réunion,critique,Énergie / Utilities,,SKIPPED,0,,
Chambre de Métiers et de l'Artisanat de La Réunion,chambre de metiers et de l artisanat de la reunion,La Réunion,critique,Commerce / Distribution,,SKIPPED,0,,
Département de La Réunion,departement de la reunion,La Réunion,critique,Administration / Collectivité,,SKIPPED,0,,
EDF Réunion,edf reunion,La Réunion,critique,Énergie / Utilities,,SKIPPED,0,,
Grand Port Maritime de La Réunion,grand port maritime de la reunion,La Réunion,critique,Transport / Logistique,,SKIPPED,0,,
Orange Réunion,orange reunion,La Réunion,critique,Numérique / Technologie,,SKIPPED,0,,
Préfecture de La Réunion,prefecture de la reunion,La Réunion,critique,Administration / Collectivité,,SKIPPED,0,,
Rectorat de La Réunion,rectorat de la reunion,La Réunion,critique,Éducation / Formation,,SKIPPED,0,,
Runéo,runeo,La Réunion,critique,Énergie / Utilities,,SKIPPED,0,,
Région Réunion,region reunion,La Réunion,critique,Administration / Collectivité,,SKIPPED,0,,
SFR Réunion,sfr reunion,La Réunion,critique,Numérique / Technologie,,SKIPPED,0,,
Université de La Réunion,universite de la reunion,La Réunion,critique,Éducation / Formation,,SKIPPED,0,,
Zeop,zeop,La Réunion,critique,Numérique / Technologie,,SKIPPED,0,,
Airtel Madagascar,airtel madagascar,Madagascar,critique,Numérique / Technologie,,SKIPPED,0,,
Banky Foibe,banky foibe,Madagascar,critique,Finance / Assurance,,SKIPPED,0,,
Douanes malgaches,douanes malgaches,Madagascar,critique,Finance / Assurance,,SKIPPED,0,,
Gouvernement malgache,gouvernement malgache,Madagascar,critique,Administration / Collectivité,,SKIPPED,0,,
JIRAMA,jirama,Madagascar,critique,Énergie / Utilities,,SKIPPED,0,,
Madagascar Airlines,madagascar airlines,Madagascar,critique,Transport / Logistique,,SKIPPED,0,,
Orange Madagascar,orange madagascar,Madagascar,critique,Numérique / Technologie,,SKIPPED,0,2026-03-06,INC-09BBD7F9B544
Telma,telma,Madagascar,critique,Numérique / Technologie,,SKIPPED,0,,
Air Mauritius,air mauritius,Maurice,critique,Transport / Logistique,,SKIPPED,0,,
Airports of Mauritius,airports of mauritius,Maurice,critique,Transport / Logistique,,SKIPPED,0,,
Bank of Mauritius,bank of mauritius,Maurice,critique,Finance / Assurance,,SKIPPED,0,,
Central Electricity Board,central electricity board,Maurice,critique,Énergie / Utilities,,SKIPPED,0,,
Central Water Authority,central water authority,Maurice,critique,Énergie / Utilities,,SKIPPED,0,,
Emtel,emtel,Maurice,critique,Numérique / Technologie,,SKIPPED,0,,
Government of Mauritius,government of mauritius,Maurice,critique,Administration / Collectivité,,SKIPPED,0,,
Mauritius Commercial Bank,mauritius commercial bank,Maurice,critique,Finance / Assurance,,SKIPPED,0,,
Mauritius Revenue Authority,mauritius revenue authority,Maurice,critique,Finance / Assurance,,SKIPPED,0,,
Mauritius Telecom,mauritius telecom,Maurice,critique,Numérique / Technologie,,SKIPPED,0,,
State Bank of Mauritius,state bank of mauritius,Maurice,critique,Finance / Assurance,,SKIPPED,0,,
Mairie de Acoua,mairie de acoua,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Bandraboua,mairie de bandraboua,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Bandrélé,mairie de bandrele,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Bouéni,mairie de boueni,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Chiconi,mairie de chiconi,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Chirongui,mairie de chirongui,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Dembéni,mairie de dembeni,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Dzaoudzi-Labattoir,mairie de dzaoudzi labattoir,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Kani-Kéli,mairie de kani keli,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Koungou,mairie de koungou,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de M'Tsamboro,mairie de m tsamboro,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de M'Tsangamouji,mairie de m tsangamouji,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
Mairie de Mamoudzou,mairie de mamoudzou,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,2026-06-11,INC-8C2C274A1222
Mairie de Ouangani,mairie de ouangani,Mayotte,commune,Administration / Collectivité,,SKIPPED,0,,
