Case_ID,Left_Item_ID,Right_Item_ID,Same_Organisation_REF,Same_Incident_REF,Evidence,Reviewed_At,Golden_Version
P001,ITM-0dd0ead1cf4f8083,ITM-26fa3664882d7189,SAME,SAME,"5doigts2pieds : même victime, même date et même fuite clients/commandes décrite par deux sources.",2026-08-17,DEDUP-GOLDEN-1
P002,ITM-79ff395b4b5864a4,ITM-c98e62d20fec910a,SAME,SAME,"A.R.Ge.Co : même victime et même ransomware le même jour, corroboration Cyberattaque.org / ransomware.live.",2026-08-17,DEDUP-GOLDEN-1
P003,ITM-d79b2e288ccad695,ITM-5ad9dee2bb8a4173,SAME,SAME,"Actini Group/actini : alias connu, même revendication ransomware Krybit le même jour.",2026-08-17,DEDUP-GOLDEN-1
P004,ITM-f10fab241bce001a,ITM-465255d6ae8ab559,SAME,SAME,AFPA : même victime et même exposition de comptes le même jour.,2026-08-17,DEDUP-GOLDEN-1
P005,ITM-9250cae26eee3bff,ITM-8d608315a4249243,SAME,SAME,"Agence nationale des fréquences/ANFR : acronyme officiel, même fuite Radiomaritime le même jour.",2026-08-17,DEDUP-GOLDEN-1
P006,ITM-3fc9eba93a38dd6e,ITM-4acbbed09e3890af,SAME,SAME,"CCI Nice Côte d'Azur : la source du 1er août détaille le même incident RH déjà signalé le 31 juillet, même victime et même compromission.",2026-08-20,DEDUP-GOLDEN-1
P007,ITM-20ebf0b4645653ac,ITM-0a6898b2be76a259,SAME,SAME,"Air Austral : même victime, même date d'événement et même fuite de données employés.",2026-08-17,DEDUP-GOLDEN-1
P008,ITM-9d9d1376f1b77c8f,ITM-539e9416bad4a918,SAME,SAME,"AlumnForce : même victime, même date et URL Cyberattaque.org commune.",2026-08-17,DEDUP-GOLDEN-1
P009,ITM-a777e7f2bc1409da,ITM-c5b1a45c1f6d719b,SAME,SAME,Ankama : même victime et même fuite clients le même jour.,2026-08-17,DEDUP-GOLDEN-1
P010,ITM-04a856475a59deb2,ITM-295bbb44a2869caa,SAME,SAME,"Armurerie Lavaux : même victime et même cyberattaque du 6 août, corroborée par deux sources.",2026-08-17,DEDUP-GOLDEN-1
P011,ITM-df4119491f1ab037,ITM-2a98e1f1110fd74e,SAME,SAME,Arsène Valentin : même victime et même exposition de données clients le même jour.,2026-08-17,DEDUP-GOLDEN-1
