Review_ID,Left_Item_ID,Right_Item_ID,Verdict,Evidence_Tier,Evidence,Reviewed_At
V2P001,ITM-5299e7c10746fa62,ITM-c5d6e68764f9a13e,SAME_INCIDENT,MANUAL_MISSED_DUPLICATE_REVIEW,"WiziShop / DropIZI : même date, même victime et même fuite de factures décrite par Cyberattaque.org et FrenchBreaches.",2026-08-20
V2P002,ITM-3b3dc88186c87b68,ITM-073165dc67597152,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: Ministère des Sports, de la Jeunesse et de la Vie associative | Ministère des Sports : jusqu’à 227 000 enregistrements du Compte Asso revendiqués après une cyberattaque",2026-08-20
V2P003,ITM-16b6aa02661200f5,ITM-5a921aaebb3181e9,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: Éducation Nationale | Éducation nationale : ZeroBytes revendique le vol de 346 millions de lignes de données",2026-08-20
V2P004,ITM-ceb889fb3480c817,ITM-2d70763cbfb162a1,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: Under Armour | Under Armour : la marque avertit ses clients français après la fuite de 72 millions de comptes",2026-08-20
V2P005,ITM-3421f9f17f7348e3,ITM-cfef6105a170d038,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: Ymed | YMED (SOONCARE) : 253 000 patients exposés, 132 Go de données médicales exfiltrés",2026-08-20
V2P006,ITM-3dabd6bdfdecb4e2,ITM-92a96f0fdce3b161,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: Homair | Homair : les données clients exposées après une cyberattaque",2026-08-20
V2P007,ITM-a19c3225b871ccd1,ITM-4541376470a8e8fa,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: Parcoursup | Parcoursup : fuite de données de 705 000 candidats après un accès frauduleux en Occitanie",2026-08-20
V2P008,ITM-464180dceec58b0f,ITM-f6f916078e291e8d,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: Steam | Steam : noms, adresses et commandes de clients européens exposés après une cyberattaque",2026-08-20
V2P009,ITM-5c2e0a1a7c553b74,ITM-55009a7fcb0bbb0b,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: McDonald's France | McDonald’s touché par une cyberattaque : des comptes fidélité utilisés à l’insu des clients",2026-08-20
V2P010,ITM-76d52fcd842492d5,ITM-9523cb31d2dd33d8,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: Le Petit Vapoteur | Le Petit Vapoteur : 3,3 millions de clients exposés",2026-08-20
V2P011,ITM-ca7f0a3243815e6c,ITM-d90ed50c38bf2e83,SAME_INCIDENT,COMPANY_ID_CROSS_SOURCE,"Revue V2 [COMPANY_ID_CROSS_SOURCE] : BONJOURLAFUITE/CYBERATTAQUE_ORG, même identité organisationnelle, écart 0 jour(s). Titres: Gold Union | Gold Union : plus de 120 000 acheteurs d’or exposés avec pièces d’identité et transactions",2026-08-20
