Incident_ID,Date,Date_Basis,Organisation,Secteur,Menace,Localisation,Sources,Source_URLs,Items_Count,First_seen,Last_seen
INC-F65A98FB9FA4,2026-08-20,PUBLICATION,Alaxione,Santé,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG | FRENCHBREACHES,https://frenchbreaches.com/alertes/alaxione-mt0ophzmbommap9dya | https://www.cyberattaque.org/alaxione-68-millions-de-patients-et-plus-de-10-millions-de-rendez-vous-revendiques-dans-une-fuite-massive/,2,2026-08-20T11:38:52.928740+04:00,2026-08-20T11:38:52.928740+04:00
INC-C4BD32043428,2026-08-20,PUBLICATION,Capgemini Engineering,Services aux entreprises,Ransomware,France métropolitaine,RANSOMWARE_LIVE,http://everestndkvzcibcje2cqxhre2hmmybl3rn2gwzwsblz7gx6uryn5rad.onion/news/capgemini-engineering,1,2026-08-20T11:38:52.928740+04:00,2026-08-20T11:38:52.928740+04:00
INC-BCBD7A6C4BEC,2026-08-20,PUBLICATION,Réserver,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG | FRENCHBREACHES,https://frenchbreaches.com/alertes/r-server-mt0n1r7q49q9x6h207r | https://www.cyberattaque.org/reserver-fr-19-495-enregistrements-diffuses-gratuitement-apres-une-cyberattaque/,2,2026-08-20T11:38:52.928740+04:00,2026-08-20T11:38:52.928740+04:00
INC-82C56212890E,2026-08-19,PUBLICATION,Institut de recherche pour le développement,Inconnu,Fuite de données,France métropolitaine,BONJOURLAFUITE | FRENCHBREACHES,https://bonjourlafuite.eu.org/img/ird.png | https://frenchbreaches.com/alertes/institut-de-recherche-pour-le-d-veloppement-ird-mt0p9vbf00szk0llqusyg,2,2026-08-20T11:38:52.928740+04:00,2026-08-20T11:38:52.928740+04:00
INC-2A9888F66F2D,2026-08-19,PUBLICATION,IRD,Inconnu,Compromission de compte / messagerie,Inconnu,CYBERATTAQUE_ORG,https://www.cyberattaque.org/ird-7-500-personnes-exposees-apres-une-intrusion-dans-son-systeme-dinformation/,1,2026-08-20T11:38:52.928740+04:00,2026-08-20T11:38:52.928740+04:00
INC-8F222C73001E,2026-08-19,PUBLICATION,Klaro,Inconnu,Fuite de données,Inconnu,CYBERATTAQUE_ORG,https://www.cyberattaque.org/klaro-22-369-utilisateurs-exposes-apres-une-cyberattaque/,1,2026-08-20T11:38:52.928740+04:00,2026-08-20T11:38:52.928740+04:00
INC-F599B89D9F21,2026-08-19,PUBLICATION,Philippe Hottinguer Finance,Finance / Assurance,Ransomware,France métropolitaine,CYBERATTAQUE_ORG | RANSOMWARE_LIVE,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=576ca72f-43d1-4fa7-83e2-78db0524ab3f | https://www.cyberattaque.org/philippe-hottinguer-finance-cible-par-le-ransomware-qilin/,2,2026-08-20T11:38:52.928740+04:00,2026-08-20T11:38:52.928740+04:00
INC-6DC1B3DE66B3,2026-08-19,PUBLICATION,Sport 2000,Sport,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG | FRENCHBREACHES,https://frenchbreaches.com/alertes/sport-2000-mt0d2uylr1i928pr8k8 | https://www.cyberattaque.org/sport-2000-zerobytes-publie-17-851-reservations-de-son-outil-interne-pilot/,2,2026-08-20T11:38:52.928740+04:00,2026-08-20T11:38:52.928740+04:00
INC-001511C336C7,2026-08-19,PUBLICATION,WiziShop,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG | FRENCHBREACHES,https://frenchbreaches.com/alertes/wizishop-dropizi-mszyv230fxhdpsb7ppo | https://www.cyberattaque.org/wizishop-dropizi-et-evolup-pirates-des-factures-clients-depuis-2009-recuperees-par-un-hacker/,2,2026-08-20T11:38:52.928740+04:00,2026-08-20T11:38:52.928740+04:00
INC-78A855CB3BF4,2026-08-18,PUBLICATION,Aastrio / Monday,Inconnu,Fuite de données,Inconnu,CYBERATTAQUE_ORG,https://www.cyberattaque.org/aastrio-monday-une-ancienne-base-de-donnees-refait-surface-huit-ans-plus-tard/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
