Item_ID,Qualification_Fingerprint,Policy_Version,Dependency_Digest,Last_Processed_Run_ID,Last_Processed_As_Of
ITM-005a36176dc24a3a,0bc8b74fb86e5f7ac570819b3137dbacfc2ea0b2929bc2a16d1f87776e3ce511,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-008e2729e5969f7f,d26a37d722f1859a0a75aa3ee9ca9fc5fe99af65250cdc1fd0b3dd3987b34ba3,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-00e3e6e37ab04d64,3f68b8c890906c23ec3adf5b3216689aad72aae38f1590aef641cb932e17a047,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0146aaed9f0a5383,ed6a4002fdbab87155d065ee89c54dd41a93f0f50e7a0333ee51b06cd755c787,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-014bb4da729676e9,d002174687bc79876544944bc5124be357e85fd4f10c2d55fcc5e76757acb77f,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-015da41dbb8ea80b,ba41d2ad4e9b987c535122940b2309727e46689fea07bec8618c4893f93ac069,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0301e932a02d3c7b,b0baf25d1a156519712adb3ba6b652bbc4ced456419b21fbec32771b323f1d10,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0356561a0ce1e8dc,9260889fd1f8fde828ae5d6fe509840be2642aafc9722efbe08b7165f19129fb,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-04382f2e8178ccb6,38fffaa9bf602ad2f478d7f4570e9e0bbfd6739457cdcbe6fead32aa79379dd3,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-04a856475a59deb2,c0a6936637d04dc1c9f984600c27f4ffd8d361a1f04cfac37fe9da443256a582,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
