Item_ID,Source_ID,Published_Date,Event_Date,Organisation_Raw,Organisation_Key,Threat_Raw,Threat,Sector,Location,Title,URL,Collected_As_Of
ITM-1490aefe5051aa01,CYBERATTAQUE_ORG,2026-03-22,,Enseignement catholique,enseignement catholique,,Intrusion,Éducation / Formation,France métropolitaine,"Enseignement catholique : une cyberattaque expose 1,5 million de données",https://www.cyberattaque.org/enseignement-catholique-une-cyberattaque-expose-15-million-de-donnees/,2026-08-13T10:13:34.314903+04:00
ITM-67c6f16d2aa70e2c,CYBERATTAQUE_ORG,2026-03-23,,Éducation nationale,education nationale,,Intrusion,Éducation / Formation,France métropolitaine,Éducation nationale : 243 000 agents victimes d’un piratage massif,https://www.cyberattaque.org/education-nationale-243-000-agents-victimes-dun-piratage-massif/,2026-08-13T10:13:34.314903+04:00
ITM-4b0cb07ac06db745,CYBERATTAQUE_ORG,2026-03-23,,Intoxalock,intoxalock,,Intrusion,Inconnu,France métropolitaine,Intoxalock : une cyberattaque bloque des voitures aux États-Unis,https://www.cyberattaque.org/intoxalock-une-cyberattaque-bloque-des-voitures-aux-etats-unis/,2026-08-13T10:13:34.314903+04:00
ITM-828b73602b4cede7,CYBERATTAQUE_ORG,2026-03-23,,Mutuelle Familiale,mutuelle familiale,,Intrusion,Finance / Assurance,France métropolitaine,Mutuelle Familiale : 113 000 assurés exposés après une intrusion,https://www.cyberattaque.org/mutuelle-familiale-113-000-assures-exposes-apres-une-intrusion/,2026-08-13T10:13:34.314903+04:00
ITM-88d03fb8dc2ac954,CYBERATTAQUE_ORG,2026-03-24,,Crous,crous,,Intrusion,Inconnu,France métropolitaine,Crous : 770 000 étudiants touchés par une fuite massive,https://www.cyberattaque.org/crous-770-000-etudiants-touches-par-une-fuite-massive/,2026-08-13T10:13:34.314903+04:00
ITM-5a44baeb0d5f5a1f,CYBERATTAQUE_ORG,2026-03-25,,Cerballiance,cerballiance,,Intrusion,Inconnu,France métropolitaine,Cerballiance : des données médicales exposées après une cyberattaque,https://www.cyberattaque.org/cerballiance-des-donnees-medicales-exposees-apres-une-cyberattaque/,2026-08-13T10:13:34.314903+04:00
ITM-3cd620a6e5d73a75,CYBERATTAQUE_ORG,2026-03-27,,Union européenne,union europeenne,,Intrusion,Numérique / Technologie,France métropolitaine,Union européenne : cyberattaque sur la plateforme Europa,https://www.cyberattaque.org/union-europeenne-cyberattaque-sur-la-plateforme-europa/,2026-08-13T10:13:34.314903+04:00
ITM-9e0637430fe888ec,CYBERATTAQUE_ORG,2026-03-28,,Allopneus,allopneus,,Intrusion,Inconnu,France métropolitaine,Allopneus : 453 000 clients exposés après une cyberattaque,https://www.cyberattaque.org/allopneus-453-000-clients-touches-par-une-fuite-massive/,2026-08-13T10:13:34.314903+04:00
ITM-83e24c3bcc958686,CYBERATTAQUE_ORG,2026-03-28,,Mondial Tissus,mondial tissus,,Fuite de données,Commerce / Distribution,France métropolitaine,Mondial Tissus : 365 900 clients compromis par une fuite,https://www.cyberattaque.org/mondial-tissus-365-900-clients-compromis-par-une-fuite/,2026-08-13T10:13:34.314903+04:00
ITM-86e5d79d6cecfaba,CYBERATTAQUE_ORG,2026-03-28,,SIA,sia,,Autre cyber,Inconnu,France métropolitaine,SIA : fuite des données de 62 511 armes en France,https://www.cyberattaque.org/sia-fuite-des-donnees-de-62-511-armes-en-france/,2026-08-13T10:13:34.314903+04:00
ITM-38b648c266d766bd,CYBERATTAQUE_ORG,2026-03-29,,Handisport,handisport,,Intrusion,Sport,France métropolitaine,Handisport : près de 200 000 licenciés touchés par une cyberattaque,https://www.cyberattaque.org/handisport-pres-de-200-000-licencies-touches-par-une-cyberattaque/,2026-08-13T10:13:34.314903+04:00
ITM-ad27fd063008f371,CYBERATTAQUE_ORG,2026-03-29,,Scalian,scalian,,Intrusion,Inconnu,France métropolitaine,Scalian : des données sensibles d’employés fuitent après une cyberattaque,https://www.cyberattaque.org/scalian-des-donnees-sensibles-demployes-fuitent-apres-une-cyberattaque/,2026-08-13T10:13:34.314903+04:00
ITM-eadc8237a9cf0862,CYBERATTAQUE_ORG,2026-03-30,,Belambra,belambra,,Intrusion,Inconnu,France métropolitaine,Belambra : les coordonnées clients exposées après une cyberattaque,https://www.cyberattaque.org/belambra-les-coordonnees-clients-exposees-apres-une-cyberattaque/,2026-08-13T10:13:34.314903+04:00
ITM-ed183cca087b53cb,CYBERATTAQUE_ORG,2026-03-30,,Fédération française de Savate,federation francaise de savate,,Fuite de données,Sport,France métropolitaine,Fédération française de Savate : près de 680 000 licenciés exposés sur 49 ans,https://www.cyberattaque.org/federation-francaise-de-savate-pres-de-680-000-licencies-exposes-sur-49-ans/,2026-08-13T10:13:34.314903+04:00
ITM-56c0ba848167f2bb,CYBERATTAQUE_ORG,2026-03-30,,Iliad,iliad,,Intrusion,Inconnu,France métropolitaine,Iliad (Free) : nouvelle cyberattaque avec des données réseau en fuite,https://www.cyberattaque.org/iliad-free-nouvelle-cyberattaque-avec-des-donnees-reseau-en-fuite/,2026-08-13T10:13:34.314903+04:00
ITM-8990f0523bc9fea2,CYBERATTAQUE_ORG,2026-03-30,,La Centrale de Financement,la centrale de financement,,Fuite de données,Inconnu,France métropolitaine,La Centrale de Financement : 387 Go de données en fuite,https://www.cyberattaque.org/la-centrale-de-financement-387-go-de-donnees-en-fuite/,2026-08-13T10:13:34.314903+04:00
ITM-e45c7bc7a098ef19,CYBERATTAQUE_ORG,2026-03-30,,Le Petit Vapoteur,le petit vapoteur,,Fuite de données,Inconnu,France métropolitaine,"Le Petit Vapoteur : 3,3 millions de clients exposés",https://www.cyberattaque.org/le-petit-vapoteur-33-millions-de-clients-exposes/,2026-08-13T10:13:34.314903+04:00
ITM-86f3cebbfa46b4d0,CYBERATTAQUE_ORG,2026-03-31,,Homair,homair,,Intrusion,Inconnu,France métropolitaine,Homair : les données clients exposées après une cyberattaque,https://www.cyberattaque.org/homair-les-donnees-clients-exposees-apres-une-cyberattaque/,2026-08-13T10:13:34.314903+04:00
ITM-1196652ffd6b2ef3,CYBERATTAQUE_ORG,2026-03-31,,Vaucluse Provence Attractivité,vaucluse provence attractivite,,Intrusion,Inconnu,France métropolitaine,Vaucluse Provence Attractivité : des clients ciblés après une cyberattaque,https://www.cyberattaque.org/vaucluse-provence-attractivite-des-clients-cibles-apres-une-cyberattaque/,2026-08-13T10:13:34.314903+04:00
ITM-f09c9193a71240fd,CYBERATTAQUE_ORG,2026-04-01,,Force Ouvrière,force ouvriere,,Fuite de données,Inconnu,France métropolitaine,Force Ouvrière (FO) : plus de 160 000 profils exposés dans une fuite de données,https://www.cyberattaque.org/fo-plus-de-160-000-profils-exposes-dans-une-fuite-de-donnees/,2026-08-13T10:13:34.314903+04:00
ITM-2e55ad10127a9a96,CYBERATTAQUE_ORG,2026-04-01,,Missions Locales,missions locales,,Intrusion,Inconnu,France métropolitaine,Missions Locales : plus de 500 000 jeunes exposés suite à une cyberattaque,https://www.cyberattaque.org/missions-locales-plus-de-500-000-jeunes-exposes-suite-a-une-cyberattaque/,2026-08-13T10:13:34.314903+04:00
ITM-3c8a08e3cfb11ba2,CYBERATTAQUE_ORG,2026-04-01,,Notre-Dame du Grandchamp,notre dame du grandchamp,,Ransomware,Éducation / Formation,France métropolitaine,Notre-Dame du Grandchamp : des milliers d’élèves exposés après une cyberattaque,https://www.cyberattaque.org/notre-dame-du-grandchamp-des-milliers-deleves-exposes-apres-une-cyberattaque/,2026-08-13T10:13:34.314903+04:00
ITM-65b6e40c4cff809d,CYBERATTAQUE_ORG,2026-04-01,,Vacancéole,vacanceole,,Autre cyber,Inconnu,France métropolitaine,Vacancéole : nouvelle fuite de clients dans le secteur du tourisme,https://www.cyberattaque.org/vacanceole-nouvelle-fuite-de-clients-dans-le-secteur-du-tourisme/,2026-08-13T10:13:34.314903+04:00
