Division,Label,Expected_Sector,Status
01,"Culture et production animale, chasse et services annexes",,TAXONOMY
02,Sylviculture et exploitation forestière,,TAXONOMY
03,Pêche et aquaculture,,TAXONOMY
05,Extraction de houille et de lignite,,TAXONOMY
06,Extraction d'hydrocarbures,,TAXONOMY
07,Extraction de minerais métalliques,,TAXONOMY
08,Autres industries extractives,,TAXONOMY
09,Services de soutien aux industries extractives,,TAXONOMY
10,Industries alimentaires,,TAXONOMY
11,Fabrication de boissons,,TAXONOMY
12,Fabrication de produits à base de tabac,,TAXONOMY
13,Fabrication de textiles,,TAXONOMY
14,Industrie de l'habillement,Industrie / Manufacture,MAPPABLE
15,Industrie du cuir et de la chaussure,Industrie / Manufacture,MAPPABLE
16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles",,TAXONOMY
17,Industrie du papier et du carton,Industrie / Manufacture,MAPPABLE
18,Imprimerie et reproduction d'enregistrements,,TAXONOMY
19,Cokéfaction et raffinage,,TAXONOMY
20,Industrie chimique,Industrie / Manufacture,MAPPABLE
21,Industrie pharmaceutique,Industrie / Manufacture,MAPPABLE
22,Fabrication de produits en caoutchouc et en plastique,,TAXONOMY
23,Fabrication d'autres produits minéraux non métalliques,,TAXONOMY
24,Métallurgie,Industrie / Manufacture,MAPPABLE
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",,TAXONOMY
26,"Fabrication de produits informatiques, électroniques et optiques",,TAXONOMY
27,Fabrication d'équipements électriques,,TAXONOMY
28,Fabrication de machines et équipements n.c.a.,,TAXONOMY
29,Industrie automobile,Industrie / Manufacture,MAPPABLE
30,Fabrication d'autres matériels de transport,,BLOCKED
31,Fabrication de meubles,,TAXONOMY
32,Autres industries manufacturières,,TAXONOMY
33,Réparation et installation de machines et d'équipements,,TAXONOMY
35,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,BLOCKED
36,"Captage, traitement et distribution d'eau",,BLOCKED
37,Collecte et traitement des eaux usées,,TAXONOMY
38,"Collecte, traitement et élimination des déchets ; récupération",,TAXONOMY
39,Dépollution et autres services de gestion des déchets,,TAXONOMY
41,Construction de bâtiments,Construction / BTP,MAPPABLE
42,Génie civil,,TAXONOMY
43,Travaux de construction spécialisés,Construction / BTP,MAPPABLE
45,Commerce et réparation d'automobiles et de motocycles,Commerce / Distribution,MAPPABLE
46,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce / Distribution,MAPPABLE
47,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce / Distribution,MAPPABLE
49,Transports terrestres et transport par conduites,Transport / Logistique,MAPPABLE
50,Transports par eau,Transport / Logistique,MAPPABLE
51,Transports aériens,Transport / Logistique,MAPPABLE
52,Entreposage et services auxiliaires des transports,Transport / Logistique,MAPPABLE
53,Activités de poste et de courrier,,TAXONOMY
55,Hébergement,Hébergement / Tourisme / Restauration,MAPPABLE
56,Restauration,Hébergement / Tourisme / Restauration,MAPPABLE
58,Édition,,TAXONOMY
59,"Production de films cinématographiques, de vidéo et de programmes de télévision",,TAXONOMY
60,Programmation et diffusion,,TAXONOMY
61,Télécommunications,,TAXONOMY
62,"Programmation, conseil et autres activités informatiques",,TAXONOMY
63,Services d'information,,TAXONOMY
64,"Activités des services financiers, hors assurance et caisses de retraite",Finance / Assurance,MAPPABLE
65,Assurance,Finance / Assurance,MAPPABLE
66,Activités auxiliaires de services financiers et d'assurance,Finance / Assurance,MAPPABLE
68,Activités immobilières,Construction / BTP,MAPPABLE
69,Activités juridiques et comptables,,TAXONOMY
70,Activités des sièges sociaux ; conseil de gestion,,BLOCKED
71,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,,TAXONOMY
72,Recherche-développement scientifique,,TAXONOMY
73,Publicité et études de marché,,TAXONOMY
74,"Autres activités spécialisées, scientifiques et techniques",,BLOCKED
75,Activités vétérinaires,,TAXONOMY
77,Activités de location et location-bail,,TAXONOMY
78,Activités liées à l'emploi,,TAXONOMY
79,"Activités des agences de voyage, voyagistes et services de réservation",,TAXONOMY
80,Enquêtes et sécurité,,TAXONOMY
81,Services relatifs aux bâtiments et aménagement paysager,,TAXONOMY
82,Activités administratives et autres activités de soutien aux entreprises,,BLOCKED
84,Administration publique et défense ; sécurité sociale obligatoire,Administration / Collectivité,MAPPABLE
85,Enseignement,Éducation / Formation,MAPPABLE
86,Activités pour la santé humaine,Santé,MAPPABLE
87,Hébergement médico-social et social,,BLOCKED
88,Action sociale sans hébergement,,BLOCKED
90,"Activités créatives, artistiques et de spectacle",Culture / Médias / Loisirs,MAPPABLE
91,"Bibliothèques, archives, musées et autres activités culturelles",,TAXONOMY
92,Organisation de jeux de hasard et d'argent,,TAXONOMY
93,"Activités sportives, récréatives et de loisirs",,BLOCKED
94,Activités des organisations associatives,,TAXONOMY
95,Réparation d'ordinateurs et de biens personnels et domestiques,,TAXONOMY
96,Autres services personnels,,BLOCKED
97,Activités des ménages en tant qu'employeurs de personnel domestique,,BLOCKED
98,Activités indifférenciées des ménages en tant que producteurs de biens et services,,BLOCKED
99,Activités des organisations et organismes extraterritoriaux,,TAXONOMY
