Organisation_Key,Query_Name,Matched_Name,Company_ID,Activity_Code,Activity_Label,Headquarters_Department,Evidence_Source,Evidence_URL,Match_Status,Fetched_At,Validated_Sector,Validated_Via,Cache_Version
5doigts2pieds,5doigts2pieds,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
achat or et argent,Achat or et argent,ACHAT OR ET ARGENT,982642282,47.78C,Commerce ; réparation d'automobiles et de motocycles,25,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=982642282,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,4
actini,Actini Group,ACTINI,398147637,28.29B,Industrie manufacturière,74,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=398147637,MATCHED,2026-08-16T11:59:40+04:00,Industrie / Manufacture,deterministic,4
afpa,AFPA,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T10:23:34+04:00,,,4
agence de services et de paiement,Agence de Services et de Paiement,AGENCE DE SERVICES ET DE PAIEMENT,130006372,84.13Z,Administration publique,87,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=130006372,MATCHED,2026-08-16T11:59:40+04:00,Administration / Collectivité,deterministic,4
agence du service civique,Agence du Service Civique,AGENCE DU SERVICE CIVIQUE,130011844,84.12Z,Administration publique,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=130011844,MATCHED,2026-08-16T11:59:40+04:00,Administration / Collectivité,deterministic,4
agence nationale de la cohesion des territoires,Agence Nationale de la Cohésion des Territoires,AGENCE NATIONALE DE LA COHESION DES TERRITOIRES,130026032,84.12Z,Administration publique,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=130026032,MATCHED,2026-08-16T20:20:24+04:00,Administration / Collectivité,deterministic,4
agence nationale des frequences,Agence Nationale des Fréquences,AGENCE NATIONALE DES FREQUENCES,180053027,84.13Z,Administration publique,94,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=180053027,MATCHED,2026-08-16T11:59:40+04:00,Administration / Collectivité,deterministic,4
agence pour l enseignement francais a l etranger,Agence pour l’enseignement français à l’étranger,AGENCE POUR L'ENSEIGNEMENT FRANCAIS A L'ETRANGER,180006082,84.21Z,Administration publique,93,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=180006082,MATCHED,2026-08-16T11:59:40+04:00,Administration / Collectivité,deterministic,4
aide a dom74,Aide à Dom 74,AIDE A DOM 74,815087960,88.10A,Santé humaine et action sociale,74,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=815087960,MATCHED,2026-08-16T11:59:40+04:00,Santé,deterministic,4
airsoft entrepot,Airsoft Entrepot,AIRSOFT ENTREPOT,519294201,46.49Z,Commerce ; réparation d'automobiles et de motocycles,35,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=519294201,MATCHED,2026-08-16T20:20:24+04:00,Commerce / Distribution,deterministic,4
alinto,Alinto,ALINTO,429242738,63.11Z,Information et communication,69,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=429242738,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,4
allo solar,Allo Solar,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
amicale police et patrimoine,Amicale Police et Patrimoine,AMICALE POLICE ET PATRIMOINE,499949022,94.99Z,Autres activités de services,92,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=499949022,MATCHED,2026-08-16T11:59:40+04:00,,llm_declined,4
armurerie lavaux,Armurerie Lavaux,ARMURERIE LAVAUX,503383101,47.78C,Commerce ; réparation d'automobiles et de motocycles,88,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=503383101,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,4
