alias,canonical,reason
move up formation,moveup formation,TYPOGRAPHIC
kams paris,kamsparis,TYPOGRAPHIC
easy lounge,easylounge,TYPOGRAPHIC
alumn force,alumnforce,TYPOGRAPHIC
unis cite,uniscite,TYPOGRAPHIC
keep cool,keepcool,TYPOGRAPHIC
store pas cher,storepascher,TYPOGRAPHIC
actini group,actini,KNOWN_ALIAS
chambre de commerce et de l industrie nice cote d azur,chambre de commerce et d industrie nice cote d azur,KNOWN_ALIAS
ministere de l education nationale,education nationale,KNOWN_ALIAS
aefe,agence pour l enseignement francais a l etranger,ACRONYM
ffhandball,federation francaise de handball,ACRONYM
anct,agence nationale de la cohesion des territoires,ACRONYM
onpp,ordre national des pedicures podologues,ACRONYM
cyberattaque a gagny,ville de gagny,KNOWN_ALIAS
supreme body,supremebody,TYPOGRAPHIC
veto avenue,vetoavenue,TYPOGRAPHIC
stade francais paris,stade francais,KNOWN_ALIAS
iad group,iad groupe,TYPOGRAPHIC
nantes metropole,metropole de nantes,KNOWN_ALIAS
rennes metropole,metropole de rennes,KNOWN_ALIAS
figaro immobilier,le figaro immobilier,KNOWN_ALIAS
mano mano,manomano,TYPOGRAPHIC
thales group,thales,KNOWN_ALIAS
universite d aix marseille,universite aix marseille,TYPOGRAPHIC
comptoir du reve,comptoirdureve,TYPOGRAPHIC
sstrn,service de sante au travail en region nantaise,ACRONYM
