Organisation_Key,Organisation,Sector,Status,Confidence,Evidence_Types,Evidence_Count,Evidence,Conflicting_Sectors,Decision_Origin,Updated_At
1001coques,1001Coques,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
11 agences immobilieres,11 agences immobilières,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
2lg prod,2LG Prod,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
5doigts2pieds,5doigts2pieds,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
a r ge co,A.R.Ge.Co,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
aastrio monday,Aastrio / Monday,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
academie de la reunion,academie de la reunion,Éducation / Formation,CONFIRMED,HIGH,manual_reference,1,manual_reference:Éducation / Formation:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
academie de lyon,Académie de Lyon,Éducation / Formation,CONFIRMED,HIGH,safe_name,2,safe_name:Éducation / Formation:Académie de Lyon | safe_name:Éducation / Formation:Académie de Lyon,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
academie de mayotte,academie de mayotte,Éducation / Formation,CONFIRMED,HIGH,manual_reference,1,manual_reference:Éducation / Formation:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
academie de montpellier,Académie de Montpellier,Éducation / Formation,CONFIRMED,HIGH,safe_name,1,safe_name:Éducation / Formation:Académie de Montpellier,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
academie de montpellier csjm,Académie de Montpellier / CSJM,Éducation / Formation,CONFIRMED,HIGH,safe_name,1,safe_name:Éducation / Formation:Académie de Montpellier / CSJM,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
academie de nice,Académie de Nice,Éducation / Formation,CONFIRMED,HIGH,safe_name,1,safe_name:Éducation / Formation:Académie de Nice,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
academie de paris,Académie de Paris,Éducation / Formation,CONFIRMED,HIGH,safe_name,1,safe_name:Éducation / Formation:Académie de Paris,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
accor,Accor,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
