Evidence_ID,Organisation_Key,Organisation,Item_ID,Evidence_Type,Producer,Outcome,Candidate_Sector,Confidence,Authority,Source,Evidence_Text,Evidence_URL
192f44d667d2ce09f38150c1,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,manual_reference,manual_reference,NO_MATCH,,,,,,
b5eb320310243f9478d03b9d,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,naf_precise_v2,naf_precise_v2,NO_MATCH,,,,,,
751cd74bd8175b719c0eb6a8,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,structured_source,structured_source,NO_MATCH,,,,,,
2296e0198e8be1218d13b203,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,watchlist_hint,watchlist_hint,NOT_APPLICABLE,,,,,,
8c47c32c86ae20721e7c38fc,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,safe_name,safe_name,NO_MATCH,,,,,,
a5576c47d00dfce2cc688bc9,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,official_subject_activity,official_subject_activity,NO_MATCH,,,,,,
270541f2e119be07b76a0242,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,official_site,official_site,NO_MATCH,,,,,,
7fe87c6430f426e460dfd309,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,source_activity,source_activity,NO_MATCH,,,,,,
de296548d1f31dcdbf70b63a,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,domain_page,domain_page,NOT_APPLICABLE,,,,,,
acbb11fb42ec68173b61ad0e,banque alimentaire de la croix rouge a strasbourg,Banque Alimentaire de la Croix-Rouge à Strasbourg,,llm_organisation,llm_organisation,BUDGET_BLOCKED,,,,,,
