Item_ID,Prequalification_Fingerprint,Policy_Version,Dependency_Digest,Last_Qualified_Run_ID,Last_Qualified_As_Of
ITM-005a36176dc24a3a,bb32bf582e5c943d955c7483e9d1ece2b02c1a4a6d14fb20c1c84c836605c75d,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-008e2729e5969f7f,a6553b067c893229af8cb8cd9b808eb988ea50f72765c2b26a06f83bf35cd10a,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-00e3e6e37ab04d64,4d93cdee15ee3366ef385271e0a1ff9c93566b8f19ab64fa0e5f2a11a64c7d79,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0146aaed9f0a5383,59fbff77d04852375d97e6aa7fdbcfa81d17c66a09e0e144d6bbe4562bf162b4,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-014bb4da729676e9,9a6c9d23dd93e4bb564221ed564ab351001f2afbea6d27d69fa0becb4a79e024,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-015da41dbb8ea80b,a587f3b3a4dcd25dcb003fd636539dcf23a4c08481fe067c2b75d5181faafc13,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0301e932a02d3c7b,85dda25c3c1b9f66d970c962df8484c0ca5f7f679caaf4c59515b9e5a04152c2,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0356561a0ce1e8dc,0df03a6da24856bf0f9f3497028929477bc1b86a6d841a68bf78dac74ea5f794,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-04382f2e8178ccb6,f32dcdb02129b499399dcdc23a8d9db653d33094a1867dedf7c116fe654133cd,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-04a856475a59deb2,9ee01cacf297a3c2e5f1b920c48ff6bed0d14282acabc2d27c037906676f2cae,OBS-FR-OI-SIMPLE-SOURCING-8,a91b4cbd5bc005c08c247f866aa8890b6b5349a14fec8198dbdcd2379de9e3a6,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
