Run_ID,As_Of,Trigger,Overall_Status,Published,Items_Count,Incidents_Count,Sector_Unknown_Count,Sector_Unknown_Pct,Location_Unknown_Count,Location_Unknown_Pct,New_Items_Count,New_Sector_Unknown_Count,New_Sector_Unknown_Pct,New_Threat_Unknown_Count,New_Threat_Unknown_Pct,New_Location_Unknown_Count,New_Location_Unknown_Pct,SourceFacts_Retry_Queued_Before,SourceFacts_Retry_Attempted,SourceFacts_Retry_Queued_After,SourceFacts_Nonassertive_Suppressed_Count,SourceFacts_Contextual_Vulnerability_Count,SourceFacts_Unsupported_Affected_Unit_Count,Potential_Duplicate_Pairs,Potential_Duplicate_Rate_Pct,Missed_Duplicate_Candidate_Pairs,Weak_Merge_Review_Pairs,Validated_Same_Not_Grouped_Pairs,Pending_Review_Pairs,Corpus_Cases,Corpus_False_Positives,Corpus_False_Positive_Rate_Pct,Corpus_False_Negatives,Corpus_Classification_Errors,Dedup_Known_False_Merges,Duration_s,Requests,LLM_Calls,LLM_Cost_USD
RUN-20260912T164223,2026-09-12T16:42:23.051822+04:00,workflow_dispatch,OK,true,25,18,1,5.56,0,0.00,25,2,8.00,0,0.00,7,28.00,0,0,2,68,0,0,6,33.33,0,6,0,1,22,0,0.00,0,0,0,133.2,22,17,0.028742
RUN-20260913T162256,2026-09-13T16:22:56.304701+04:00,schedule,OK,true,35,27,4,14.81,0,0.00,10,3,30.00,4,40.00,1,10.00,2,2,2,76,0,4,7,25.93,0,6,0,11,22,0,0.00,0,0,0,89.3,15,8,0.015965
RUN-20260914T172536,2026-09-14T17:25:36.408054+04:00,schedule,OK,true,43,32,5,15.62,1,3.12,8,1,12.50,0,0.00,4,50.00,2,1,2,97,0,6,11,34.38,1,9,0,12,22,0,0.00,0,0,0,115.4,17,11,0.014512
RUN-20260915T161712,2026-09-15T16:17:12.204443+04:00,schedule,OK,true,62,44,7,15.91,1,2.27,19,6,31.58,0,0.00,6,31.58,2,0,6,147,0,6,19,43.18,1,17,0,17,22,0,0.00,0,0,0,236.3,23,24,0.028785
RUN-20260916T161621,2026-09-16T16:16:21.852957+04:00,schedule,OK,true,72,50,6,12.00,2,4.00,10,1,10.00,0,0.00,4,40.00,6,2,5,185,0,6,23,46.00,2,21,0,19,22,0,0.00,0,0,0,214.5,26,24,0.033385
RUN-20260917T161605,2026-09-17T16:16:05.229738+04:00,schedule,OK,true,79,55,8,14.55,2,3.64,10,2,20.00,1,10.00,2,20.00,5,0,7,197,0,6,27,49.09,1,22,0,21,22,0,0.00,0,0,0,131.3,20,11,0.020218
RUN-20260918T155553,2026-09-18T15:55:53.244402+04:00,schedule,OK,true,87,60,8,13.33,3,5.00,8,1,12.50,0,0.00,4,50.00,7,2,8,226,0,6,30,50.00,1,24,0,25,22,0,0.00,0,0,0,120.0,18,13,0.023587
RUN-20260919T154034,2026-09-19T15:40:34.135294+04:00,schedule,OK,true,93,64,8,12.50,3,4.69,6,2,33.33,0,0.00,2,33.33,8,1,9,236,0,6,32,50.00,1,25,0,23,22,0,0.00,0,0,0,102.7,19,11,0.018160
RUN-20260920T155325,2026-09-20T15:53:25.890309+04:00,schedule,OK,true,107,73,10,13.70,3,4.11,14,3,21.43,0,0.00,5,35.71,9,2,11,262,0,6,37,50.68,1,30,0,25,22,0,0.00,0,0,0,96.5,18,15,0.021642
RUN-20260921T172540,2026-09-21T17:25:40.803837+04:00,schedule,OK,true,115,77,10,12.99,3,3.90,8,2,25.00,0,0.00,4,50.00,11,2,13,293,0,6,41,53.25,1,34,0,28,22,0,0.00,0,0,0,214.0,21,15,0.019973
RUN-20260922T161007,2026-09-22T16:10:07.104972+04:00,schedule,OK,true,122,82,11,13.41,4,4.88,7,1,14.29,0,0.00,3,42.86,13,3,14,326,0,6,43,52.44,1,36,0,37,22,0,0.00,0,0,0,175.7,19,18,0.029379
RUN-20260923T162210,2026-09-23T16:22:10.938160+04:00,schedule,OK,true,142,93,12,12.90,4,4.30,20,6,30.00,0,0.00,8,40.00,14,3,17,377,2,6,53,56.99,1,46,0,45,22,0,0.00,0,0,0,191.6,23,24,0.035023
RUN-20260924T162153,2026-09-24T16:21:53.228344+04:00,schedule,OK,true,154,100,14,14.00,4,4.00,12,4,33.33,0,0.00,4,33.33,17,2,18,419,2,6,58,58.00,1,51,0,61,22,0,0.00,0,0,0,205.1,25,28,0.035410
RUN-20260925T162216,2026-09-25T16:22:16.069864+04:00,schedule,OK,true,168,111,18,16.22,6,5.41,14,4,28.57,0,0.00,4,28.57,18,1,23,438,2,6,63,56.76,2,55,0,92,22,0,0.00,0,0,0,118.0,23,18,0.030667
RUN-20260926T155309,2026-09-26T15:53:09.706936+04:00,schedule,OK,true,183,118,17,14.41,6,5.08,15,4,26.67,0,0.00,7,46.67,23,4,25,482,2,6,72,61.02,2,64,0,112,22,0,0.00,0,0,0,146.4,22,24,0.035933
