Item_ID,Qualification_Fingerprint,Output_Hash,Provenance_Hash,Cache_Version,Run_ID,As_Of
ITM-005a36176dc24a3a,0bc8b74fb86e5f7ac570819b3137dbacfc2ea0b2929bc2a16d1f87776e3ce511,fe374d4474f72c7fe1384a55a04027b0098946e9e18cd9e77a5c15598b04b39d,4131053d8d0d0015c1f2c9ec081dfafe15e23a1fc45ac33830d0a458c630a9b8,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-008e2729e5969f7f,d26a37d722f1859a0a75aa3ee9ca9fc5fe99af65250cdc1fd0b3dd3987b34ba3,4b3d87268c07a62f5ba6ddfefbb9c9bb86db180c0bb9987393ba64fb218c50a9,eaba15d4820f8afc0ee0f1db7f1ca2a8768d953f19b91c1dc84a0a9e1559dcdf,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-00e3e6e37ab04d64,3f68b8c890906c23ec3adf5b3216689aad72aae38f1590aef641cb932e17a047,0de55736b518758b50809904585ed4cf4b92fcf7e25a84cc7753f0f2313aa0d2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0146aaed9f0a5383,ed6a4002fdbab87155d065ee89c54dd41a93f0f50e7a0333ee51b06cd755c787,d357970730da346c08e9263e3403206542db60bc15a9d14ab5b1745baf235bcb,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-014bb4da729676e9,d002174687bc79876544944bc5124be357e85fd4f10c2d55fcc5e76757acb77f,0294eef2299973ac6dc9f28dc87192e3a1e5f8140c6c75489d7c2fb6373e86d2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-015da41dbb8ea80b,ba41d2ad4e9b987c535122940b2309727e46689fea07bec8618c4893f93ac069,5faca78d4cd19c9888032344fddec0505341c412046ba1ff1a3ed61357566f78,fccb2ae5b9533bfec964447686c8713b63d4989d1d5de05f04226c158861daf6,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0301e932a02d3c7b,b0baf25d1a156519712adb3ba6b652bbc4ced456419b21fbec32771b323f1d10,6d7ce8aa3f343a366ab0231f6b5a474f3bf983d179138dd3edbfa1cfa5cef8a4,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0356561a0ce1e8dc,9260889fd1f8fde828ae5d6fe509840be2642aafc9722efbe08b7165f19129fb,c416f5b9cfa94d6340969e2194ada39bc9a664245bb4604c30c162b3ea189d36,91c1d7f54608a3e193a818fda2f565bc660bc209e687b2464d647d9028e63402,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-04382f2e8178ccb6,38fffaa9bf602ad2f478d7f4570e9e0bbfd6739457cdcbe6fead32aa79379dd3,d74e6209d442b5ff7899ee6c816aed488b09d52873e39d26c8b936eb459454f4,98eed8e1d8a98d7d06f76887804a6242ae4c689d9de81fb0159ee42400063fc9,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-04a856475a59deb2,c0a6936637d04dc1c9f984600c27f4ffd8d361a1f04cfac37fe9da443256a582,eca73918619eefba88cba8d69392b3cfaf394179cdb7983902ac5833a87a8f22,4075d64f50848a7f74f62639f34e2f7df7ec1d539c35e5476b77cd5d6c113211,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-04d6fe7da62a4060,4870ee7e0d3cf60dc8a81500139b6263383bb2c4b22748c7a68c84b10b4cdcc4,4fbb7e40191af763e1660a1f5ec7cd49d13f484e103f5f4c8ee666caa008d813,2f59eeb5736ba92045e76d6342faf6e1a539062484f4d5294a187d7b94cc4eb1,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-04e0d362bcf71382,2e8abe8d0f7822ca31ba4e613351352e61edbb4127fc338c21a7842222f4de1c,638436e7a980145ca4994fc0647a80b679324b238cbf78766e7953a951d0e705,1a241b7ef04bcbe0a7b524d7bb209b29c8d4d9201e5cfc420851a854e9c7258b,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-054ef7e4c93e1e1e,d3bc23c11a1b8efe3d551a77075e654d89c704d497947f1c69059910e83f429a,913b726abd3178c9312d2fd75337e038a60c6f6c5cf4d07c060c049c7af67966,ed64d69773e02dbcf6d3fc727ab438cdcdf826302e96a40024892579fa853b14,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-057b52f6d1ab1f67,319537504b53c130d9af95ab46cf249ee136c1e927230c18cf20f520df376003,2aef562e50dd55c1261bcfe36f77ffad01f4670e8c9a3fdb60dcb6ed81e1de10,17a32002b41f05ad9693595838717934de9129dbfecf74605138d826bee6cac7,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-061d9f43ac5d68be,03cba9d58e0a12f641070c05c4ba60d445d88cf6611262f11ded1142a5965d18,0ac311866c0a8eff4a9789c91441d2508dafa70b79b097fe71bb375a77bee41b,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-06421cd29d6a0b11,218ef8f77778889c94bc03c4da7793caec0c19e8062207cc445e7a7f434e1629,48b1267074f30c97b997f01b05cebca3a521b336d8fcbeb33484ee731d90cc4e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-06a1986bae323c17,1242fde3669bb352cd7a532ab5f00ef60eb7fd36a932265d07545bb432f75329,7ad8f045291b0c411f41b03900a7507c644849340ec670a40bb69b1e40854472,25cc2c7cfa064138f5eb5e7cfa833cfb1856c205c9c60574b5dd85d5263de719,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0724785a877742c0,e24f7d6dbb0ecc2d689552e1e8306f6624f3af5a870156b012639a4e39c41b34,9177f07b0cbf5b220e5ef5bbff15ea61a79f0599b641deb99d9736348138fb40,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-073165dc67597152,f181f7a5e863362e31cc6c7bcdf45b245ae1562c1264746ef68ecbcf078e3385,d162dda29dde6a65c50f36e6680abf00c2f82d789fb5b7d5d57bc80e0afc1a97,f0c66bdb11f658f495ca0d8f44c9adf7ab1fe39c57e587028523ed8d58036b72,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-07b9952774dc9686,1bf6d7fd4dc0270c7bfb92bac7401edd3949c725fa9a579788169f47cee23b71,fd0a6667a31db8558ba0263aec5657681e4e695337a867dfe44053eb05f17abe,06bd8be91a87390e3a93a6ef769e2e545059f0b613746dde1946a6fe6f454220,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-083a449d9f671b74,e77f8938bb84442719f222ae4503cf6582ec9b3df68251b01a3694e6062efea4,605568fed299130e9ec77f833fb0b02a4783dd72bf30d6370bfcbb23a9958bf7,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-0879efb5ba994b81,ebac960e3f621ec5ab5b71a711fc8973d5113753cb45927b353735509a523e6a,730914cf7006f3cd3fa56ce765808f31bd6c157550db365b915f13b27b7531d3,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-08ce576935520d87,d762b3e95f2e4bd04a10d8f926d28ec55660e8634a1c518895c4d8903112c72c,ae9919797c7b9295edd8de27b9a859b4bb249bc19927f93836fcc6becd28c83e,225b008c891db80a0f8eaf0a4c49ad236099ca6bbca1842534c79a870d151ee6,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-08ee2b51433078f2,9fa89320b59bc0b96b74b2dd34f07c2636a20320004925d7fff1b4f1638e1fee,86b3ef55cba3da955c1c1105b549169830f5f192bdc758d23530ea385f6f2b2c,d5ab126df6b733d80724797f0059fa83c41aaaee52f52e00d100dc071c87a038,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
ITM-08ef3509bc450700,8764d1fabbb01a2bddd163ae2ca0416f5286b02cab6ab17a331282a8159b9ed5,e105f6ec27e36c6f5f6a526cbc92cadc3c14715d5845be23b11214c3abb54f6e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,QUAL-SHADOW-1,RUN-20260820T113852,2026-08-20T11:38:52.928740+04:00
