Run_ID,As_Of,Mode,Method_ID,Target_Start,Target_End,Layers,Items_Count,Incidents_Count,New_Items,New_Incidents,Source_Status,Items_seen,Items_in_window,Sources_OK,Sources_PARTIAL,Sources_FAIL,Sources_SKIPPED,Items_Hash,Incidents_Hash,Overall_Status,Duration_s,Requests,Trigger,GitHub_Run_ID,Base_Commit,LLM_Calls,LLM_Cost_USD,Notes
RUN-20260831T235959,2026-08-31T23:59:59+04:00,CREATE,OBS-FR-OI-SIMPLE-SOURCING-10,2026-08-28,2026-08-31,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",42,27,42,27,OK,1439,43,5,0,0,0,ad02df09ff61aaeb031837c8b4d8939c588f22ab5678d15de41f811031cd2f95,5f94016204afc248fb66f60ce61bc42c21af939405f1ad9bfd7fe6b0f1f29908,OK,43.8,35,,,,,,
RUN-20260901T075317,2026-09-01T07:53:17.737754+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-08-31,2026-09-01,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",42,27,0,0,OK,1439,7,5,0,0,0,4c48db34cab27897676499329d74c0dd9e24f6635b330bb5b803cade587a6366,3f45c9e6b6c68d9910c2f412b280a731c7a37b6720e51bf8e5d89618344468f2,OK,139.1,17,,,,,,
RUN-20260901T161000,2026-09-01T16:10:00.061034+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-08-31,2026-09-01,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",43,28,1,1,OK,1439,8,5,0,0,0,d9940ab14f36d81e3c1af94bd37c7b7befb61dd75df3d35001a8a71c3ce9c0d3,b1c594464519aea04be683fdacd6d909eff0e1af474d9baadc14dad21e4ffd4c,OK,85.1,18,,,,,,
RUN-20260902T154742,2026-09-02T15:47:42.371674+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-09-01,2026-09-02,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",49,31,6,3,OK,1439,7,5,0,0,0,13a56ab6fb5545273541fc832cf269ffc056cfbac79f286b8ac6216c60b74458,b3e35366b6292ee7ad6f3d82813bbd23d98d2ab7fb8ff780783ddfbcf27752f6,OK,66.7,16,,,,,,
RUN-20260903T154731,2026-09-03T15:47:31.532902+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-09-02,2026-09-03,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",69,43,20,12,OK,1442,26,5,0,0,0,996950647ff9deac0f3a79997a977a9d89cb4d10b19575a556053d5c8e72d6d5,a372fb3a00090d2bc9284f9402a24adcbe16266a22d89a18d4155a7f59137eee,OK,280.5,24,,,,,,
RUN-20260904T154857,2026-09-04T15:48:57.184028+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-09-03,2026-09-04,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",84,51,15,8,OK,1442,25,5,0,0,0,761e26f8e46e0ad7257c01e3c798ca1a019bb3d11a993f2e0259ce4341aab05f,d02576759e1bd0c6f464afaa7a859624b7aef1192890575d981c48ac56032cfe,OK,164.0,27,,,,,,
RUN-20260905T145836,2026-09-05T14:58:36.371393+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-09-04,2026-09-05,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",90,55,6,4,OK,1442,12,4,1,0,0,cef56f571e398153fa96fdcfff0c81d58dee67fb6b92cad44f180fd0d6f0cc2e,0dff762ee136b1b240635d3713e8227ebb89d4785414a626183f0600eb5a2c11,OK,95.8,19,,,,,,
RUN-20260906T152413,2026-09-06T15:24:13.607281+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-09-05,2026-09-06,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",102,62,12,7,OK,1443,14,4,1,0,0,47aa2c8b0bb011aba1bb3d5443d86cffa99a7647442a5ab52033df22ad4175ee,243a3c1a5c7fc3204b75fdabcc534c76262a465b3a5158908573b1d639947968,OK,120.0,19,,,,,,
RUN-20260907T170504,2026-09-07T17:05:04.798941+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-09-06,2026-09-07,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",110,67,8,5,OK,1443,14,4,1,0,0,f369dffa6598de5c2abf34c5d1956ae7cd02ea03ff660451d24d80f8fbc24925,a89433051515487a775c330111b61364c358842d76c8fa877eff054edd0b4d28,OK,123.0,19,,,,,,
RUN-20260907T183136,2026-09-07T18:31:36.709973+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-09-06,2026-09-07,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",110,68,0,2,OK,1444,14,4,1,0,0,2ccf2a0a73cb2b0f48756bb5897d823653ff1a7959a04efff12d515508b16ae8,e5f60cd42f81ef16ab96f3846363ed006f840dc29d1ac4374db13b8a3aebea79,OK,95.9,19,workflow_dispatch,34133415793,d1ae0d48991bb8b273157341183c202f9e458b91,19,0.014158,
RUN-20260908T154840,2026-09-08T15:48:40.951089+04:00,MAJ,OBS-FR-OI-SIMPLE-SOURCING-10,2026-09-07,2026-09-08,"CORE_DIRECT,LOCAL_MEDIA_DIRECT,ENTITY_WATCH,REGIONAL_WATCH",117,73,7,5,OK,1452,14,4,1,0,0,4a0b97ca563ae8c9226e8cb834f040d6264e4498a4fca94f169538cd9332f8a6,cee6128e166562158e62400220933f6654fd175235eb0a68b4bd89dde3e83a0f,OK,123.3,18,schedule,34222636343,f402377dac3a7cb4d8cfcdb19fd3e66f912d7d01,26,0.017270,
