Family_ID,Canonical_Type,Sector,Acronyms,Acronym_Mode,Full_Name_Prefixes,Aliases,Confidence,Authority,Source,Source_URL
FR_SDIS,Service départemental d'incendie et de secours,Administration / Collectivité,SDIS,territorial,service departemental d incendie et de secours|service d incendie et de secours,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_PREFECTURE,Préfecture et sous-préfecture,Administration / Collectivité,,,prefecture de|sous prefecture de,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_MINISTRY,Ministère,Administration / Collectivité,,,ministere de|ministere des,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_LOCAL_AUTHORITY,Collectivité territoriale,Administration / Collectivité,,,mairie de|ville de|la ville de|commune de|conseil departemental|conseil regional|departement de|region de,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_INTERCOMMUNALITY,Intercommunalité et établissement territorial,Administration / Collectivité,,,metropole de|communaute de communes|communaute d agglomeration|communaute urbaine|etablissement public territorial|syndicat mixte,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CCAS_CIAS,Action sociale communale,Administration / Collectivité,CCAS|CIAS,territorial,centre communal d action sociale|centre intercommunal d action sociale,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CAF,Caisse d'allocations familiales,Administration / Collectivité,CAF,territorial,caisse d allocations familiales,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CPAM,Caisse primaire d'assurance maladie,Administration / Collectivité,CPAM,territorial,caisse primaire d assurance maladie,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CGSS,Caisse générale de sécurité sociale,Administration / Collectivité,CGSS,territorial,caisse generale de securite sociale,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_URSSAF,URSSAF,Administration / Collectivité,URSSAF,territorial,union de recouvrement des cotisations de securite sociale et d allocations familiales,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_ARS,Agence régionale de santé,Santé,ARS,territorial,agence regionale de sante,ars auvergne rhone alpes|ars bourgogne franche comte|ars bretagne|ars centre val de loire|ars corse|ars grand est|ars guadeloupe|ars guyane|ars hauts de france|ars ile de france|ars martinique|ars mayotte|ars normandie|ars nouvelle aquitaine|ars occitanie|ars pays de la loire|ars provence alpes cote d azur|ars reunion,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CHU,Centre hospitalier universitaire,Santé,CHU,territorial,centre hospitalier universitaire,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CHR,Centre hospitalier régional,Santé,CHR,territorial,centre hospitalier regional,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_HOSPITAL,Établissement hospitalier public,Santé,,,centre hospitalier de|hopital de|hospices civils,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CROUS,Centre régional des œuvres universitaires et scolaires,Éducation / Formation,CROUS,territorial,centre regional des oeuvres universitaires et scolaires,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_RECTORAT,Administration académique,Éducation / Formation,,,rectorat de|academie de,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_UNIVERSITY,Université,Éducation / Formation,,,universite de,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CNRS,Centre national de la recherche scientifique,Éducation / Formation,CNRS,exact,centre national de la recherche scientifique,cnrs,HIGH,OFFICIAL_ENTITY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_INSERM,Institut national de la santé et de la recherche médicale,Santé,INSERM,exact,institut national de la sante et de la recherche medicale,inserm,HIGH,OFFICIAL_ENTITY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_JUSTICE,Juridiction publique,Administration / Collectivité,,,tribunal judiciaire de|tribunal administratif de|cour d appel de|cour administrative d appel de,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_FRANCE_TRAVAIL,Service public de l'emploi,Administration / Collectivité,,,france travail,pole emploi,HIGH,OFFICIAL_ENTITY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_ANSSI,Agence nationale de la sécurité des systèmes d'information,Administration / Collectivité,ANSSI,exact,agence nationale de la securite des systemes d information,anssi,HIGH,OFFICIAL_ENTITY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CCI,Chambre de commerce et d'industrie,Commerce / Distribution,CCI,territorial,chambre de commerce et d industrie,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_CMA,Chambre de métiers et de l'artisanat,Commerce / Distribution,CMA,territorial,chambre de metiers et de l artisanat,,HIGH,STATUTORY_FAMILY,Annuaire de l'administration française,https://lannuaire.service-public.fr/
FR_TRADE_UNION,Organisation syndicale,Association / Syndicat,CGT|CFDT|CFTC|FO|FSU|UNSA|CFE CGC,union,confederation generale du travail|confederation francaise democratique du travail|force ouvriere|confederation francaise des travailleurs chretiens|federation syndicale unitaire|union nationale des syndicats autonomes|union syndicale solidaires|syndicat sud,,HIGH,STATUTORY_FAMILY,Référentiel organisationnel Cyberwatch,
FR_PROFESSIONAL_UNION,Organisation syndicale ou professionnelle,Association / Syndicat,,,syndicat professionnel|union syndicale|confederation syndicale|federation syndicale,,HIGH,STATUTORY_FAMILY,Référentiel organisationnel Cyberwatch,
