date,organisation,territoire,localisation,secteur,type_menace,acteur,statut,score_cyberattaque,impact_connu,source_urls,synthese,evolution,sector_evidence_url,sector_evidence_text,sector_evidence_source,sector_evidence_type
2026-08-16,Motoculture Cravero,Inconnu,Non documenté publiquement,Inconnu,Autre cyber,Inconnu,Signal documenté par la source,60,La série de fuites liée à la compromission de BlgCloud continue. Les cybercriminels publient cette fois les données…,https://www.cyberattaque.org/motoculture-cravero-49-168-fichiers-et-les-donnees-de-plus-de-8-500-personnes-diffuses/,Rattrapage 2026 Cyberattaque.org — Motoculture Cravero : 49 168 fichiers et les données de plus de 8 500 personnes diffusés,nouveau,,,,
2026-08-16,Lenormant,France,France,Numérique / Technologie,Autre cyber,Inconnu,Signal documenté par la source,60,Lenormant rejoint à son tour la longue liste des entreprises touchées par la compromission de BlgCloud. Le 16…,https://www.cyberattaque.org/lenormant-206-go-de-donnees-et-pres-de-39-000-fichiers-internes-diffuses-apres-une-cyberattaque/,"Rattrapage 2026 Cyberattaque.org — Lenormant : 20,6 Go de données et près de 39 000 fichiers internes diffusés après une cyberattaque",nouveau,,,,
2026-08-16,Jone Précision,France,Nouvion-en-Thiérache,Industrie / Manufacture,Ransomware,Qilin,Revendiqué / non corroboré,65,Jone Précision est la cible d’une attaque par ransomware revendiquée par le groupe Qilin qui vient de publier…,https://www.cyberattaque.org/jone-precision-menace-ransomware-cyberattaque/,Rattrapage 2026 Cyberattaque.org — Jone Précision menacé par un ransomware : 18 Go et plus de 12 500 fichiers revendiqués,nouveau,,,,
2026-08-16,France Casse,France,France,Commerce / Distribution,Fuite de données,Inconnu,Revendiqué / non corroboré,65,"La revendication d’une nouvelle fuite de données visant France Casse, publiée le 15 août 2026, soulève désormais de…",https://www.cyberattaque.org/francecasse-500-comptes-clients-adresses-et-commandes-exposes-dans-une-nouvelle-fuite/,"Rattrapage 2026 Cyberattaque.org — France Casse : 500 comptes clients, adresses et commandes revendiqués dans une nouvelle fuite",nouveau,,,,
2026-08-16,Evy,France,France,Finance / Assurance,Intrusion,Inconnu,Revendiqué / non corroboré,65,"Evy, entreprise française spécialisée dans les services d’assurance et de protection de produits, fait l’objet d’une revendication de…",https://www.cyberattaque.org/evy-13-870-comptes-et-contrats-dassurance-revendiques-dans-une-fuite/,Rattrapage 2026 Cyberattaque.org — Evy : 13 870 comptes et contrats d’assurance revendiqués dans une fuite,nouveau,,,,
2026-08-16,Bija Industrie,États-Unis,États-Unis,Industrie / Manufacture,Ransomware,Inconnu,Revendiqué / non corroboré,65,Bija Industrie est victime d’une cyberattaque avec extorsion revendiquée par le groupe de ransomware MedusaLocker. Les cybercriminels affirment…,https://www.cyberattaque.org/bija-industrie-693-mails-en-fuite-et-5-109-fichiers-internes-deja-publies/,Rattrapage 2026 Cyberattaque.org — Bija Industrie : 693 mails en fuite et 5 109 fichiers internes déjà publiés,nouveau,,,,
2026-08-15,Lebonmateriel.fr,France,France,Numérique / Technologie,Intrusion,ChimeraZ,Revendiqué / non corroboré,65,La série de fuites liée à la compromission revendiquée de BlgCloud continue. ChimeraZ publie désormais les données associées…,https://www.cyberattaque.org/lebonmateriel-fr-138-go-et-48-290-fichiers-diffuses-apres-le-piratage-de-son-compte-blgcloud/,"Rattrapage 2026 Cyberattaque.org — Lebonmateriel.fr : 13,8 Go et 48 290 fichiers diffusés après le piratage de son compte BlgCloud",nouveau,,,,
2026-08-14,DGFiP,France,France,Administration / Collectivité,Autre cyber,Inconnu,Revendiqué / non corroboré,65,La Direction générale des Finances publiques (DGFiP) fait face à une nouvelle revendication de cyberattaque. Quelques heures après…,https://www.cyberattaque.org/dgfip-2-cyberattaque-cadastre/,"Rattrapage 2026 Cyberattaque.org — DGFiP : une 2ème cyberattaque revendiquée, plus de 2 millions de personnes concernées",nouveau,,,,
2026-08-13,Scalingo,France,France,Services aux entreprises,Fuite de données,Inconnu,Confirmé,100,Scalingo confirme une fuite de données concernant environ 90 000 personnes après la compromission de son instance interne…,https://www.cyberattaque.org/scalingo-les-donnees-de-90-000-personnes-volees-via-une-faille-critique-de-metabase/,Rattrapage 2026 Cyberattaque.org — Scalingo : les données de 90 000 personnes volées via une faille critique de Metabase,nouveau,,,,
2026-08-13,France VAE,France,France,Administration / Collectivité,Autre cyber,Inconnu,Signal documenté par la source,60,"Le portail gouvernemental France VAE, accessible notamment via vae.gouv.fr, informe ses utilisateurs d’un incident de sécurité survenu le…",https://www.cyberattaque.org/france-vae-identites-parcours-professionnels-et-donnees-de-financement-exposes-apres-un-incident-de-securite/,"Rattrapage 2026 Cyberattaque.org — France VAE : identités, parcours professionnels et données de financement exposés après un incident de sécurité",nouveau,,,,
2026-08-13,EVA.gg,France,France,Sport,Fuite de données,Inconnu,Signal documenté par la source,60,"EVA (Esports Virtual Arenas) fait face à une nouvelle revendication de fuite de données, quelques jours seulement après…",https://www.cyberattaque.org/eva-gg-nantes-cyberattaque/,Rattrapage 2026 Cyberattaque.org — EVA.gg : 20 274 comptes exposés quelques jours après une première fuite,nouveau,,,,
2026-08-13,Chupin SARL,La Réunion,La Réunion,Numérique / Technologie,Intrusion,Inconnu,Revendiqué / non corroboré,65,La série de fuites issue de la compromission revendiquée de BlgCloud continue. Les cybercriminels publient cette fois les…,https://www.cyberattaque.org/chupin-sarl-16-go-et-plus-de-70-000-fichiers-publies-apres-le-piratage-de-son-compte-blgcloud/,Rattrapage 2026 Cyberattaque.org — Chupin SARL : 16 Go et plus de 70 000 fichiers publiés après le piratage de son compte BlgCloud,nouveau,,,,
2026-08-12,Son-Video.com frappé une nouvelle fois par une cyberattaque,France,France,Commerce / Distribution,Autre cyber,Inconnu,Signal documenté par la source,60,"Son-Video.com est à nouveau confronté à une cyberattaque, quelques mois seulement après l’incident qui avait touché l’entreprise en…",https://www.cyberattaque.org/son-video-com-frappe-une-nouvelle-fois-par-une-cyberattaque-10-382-fichiers-internes-publies/,Rattrapage 2026 Cyberattaque.org — Son-Video.com frappé une nouvelle fois par une cyberattaque : 10 382 fichiers internes publiés,nouveau,,,,
2026-08-12,Loutz,Inconnu,Non documenté publiquement,Numérique / Technologie,Autre cyber,Inconnu,Revendiqué / non corroboré,65,La série de fuites issue de la compromission revendiquée de BlgCloud se poursuit. Les hackers publient cette fois…,https://www.cyberattaque.org/loutz-34-go-de-donnees-e-mails-et-documents-internes-diffuses-apres-une-cyberattaque/,"Rattrapage 2026 Cyberattaque.org — Loutz : 3,4 Go de données, e-mails et documents internes diffusés après une cyberattaque",nouveau,,,,
2026-08-12,Leroch Distribution,France,France,Numérique / Technologie,Intrusion,Inconnu,Revendiqué / non corroboré,65,La série de fuites issue de la compromission revendiquée de BlgCloud continue. Les cybercriminels publient désormais les données…,https://www.cyberattaque.org/leroch-distribution-33-go-de-donnees-publiees-apres-le-piratage-de-son-compte-blgcloud/,"Rattrapage 2026 Cyberattaque.org — Leroch Distribution : 3,3 Go de données publiées après le piratage de son compte BlgCloud",nouveau,,,,
2026-08-12,Le parquet de Paris ouvre une enquête après la fuite des 678 438 lignes de données fiscales de Français,France,France,Administration / Collectivité,Intrusion,Inconnu,Revendiqué / non corroboré,65,Une importante fuite de données visant des systèmes associés à impots.gouv.fr est revendiquée par des cybercriminels. L’intrusion aurait…,https://www.cyberattaque.org/678-438-lignes-de-donnees-fiscales-de-francais-en-fuite-apres-le-piratage-des-impots/,Rattrapage 2026 Cyberattaque.org — Le parquet de Paris ouvre une enquête après la fuite des 678 438 lignes de données fiscales de Français,nouveau,,,,
2026-08-12,LaSante.net,France,France,Santé,Autre cyber,Inconnu,Signal documenté par la source,60,La pharmacie en ligne française LaSante.net informe ses clients d’un incident de sécurité survenu le lundi 27 juillet…,https://www.cyberattaque.org/lasante-net-noms-adresses-et-e-mails-de-clients-consultes-apres-une-cyberattaque/,"Rattrapage 2026 Cyberattaque.org — LaSante.net : noms, adresses et e-mails de clients consultés après une cyberattaque",nouveau,,,,
2026-08-12,AEFE,France,France,Éducation / Formation,Autre cyber,Inconnu,Revendiqué / non corroboré,65,Une cyberattaque visant des services associés à l’Agence pour l’enseignement français à l’étranger (AEFE) est revendiquée ce 11…,https://www.cyberattaque.org/aefe-plus-de-30-000-entrees-de-lannuaire-interne-et-135-e-mails-revendiques/,Rattrapage 2026 Cyberattaque.org — AEFE : plus de 30 000 entrées de l’annuaire interne et 135 e-mails revendiqués,nouveau,,,,
2026-08-11,Sun Form,France,France,Sport,Intrusion,Inconnu,Signal documenté par la source,60,L’enseigne de salles de sport Sun Form a été victime d’une cyberattaque découverte le 10 août 2026. Des…,https://www.cyberattaque.org/sun-form-des-pirates-accedent-au-logiciel-de-gestion-et-reclament-de-largent-aux-adherents/,Rattrapage 2026 Cyberattaque.org — Sun Form : des pirates accèdent au logiciel de gestion et réclament de l’argent aux adhérents,nouveau,,,,
2026-08-11,Santé publique France,France,France,Santé,Autre cyber,Inconnu,Revendiqué / non corroboré,65,Une cyberattaque visant une plateforme associée à Santé publique France est revendiquée ce 11 août 2026. Les attaquants…,https://www.cyberattaque.org/sante-publique-france-pres-de-80-000-personnes-exposees-apres-une-faille/,Rattrapage 2026 Cyberattaque.org — Santé publique France : près de 80 000 personnes exposées après une faille,nouveau,,,,
2026-08-11,HeyPulse,France,France,Commerce / Distribution,Fuite de données,Inconnu,Revendiqué / non corroboré,65,HeyPulse fait l’objet d’une importante fuite de données revendiquée le 11 août 2026. Un acteur affirme avoir récupéré…,https://www.cyberattaque.org/heypulse-la-base-client-et-le-code-source-en-fuite-apres-une-cyberattaque/,Rattrapage 2026 Cyberattaque.org — HeyPulse : la base client et le code source en fuite après une cyberattaque,nouveau,,,,
2026-08-10,Steam,France,France,Transport / Logistique,Autre cyber,Inconnu,Signal documenté par la source,60,"Valve avertit des clients européens de Steam après une cyberattaque contre CEVA Logistics, son partenaire chargé d’expédier le…",https://www.cyberattaque.org/steam-noms-adresses-et-commandes-de-clients-europeens-exposes-apres-une-cyberattaque/,"Rattrapage 2026 Cyberattaque.org — Steam : noms, adresses et commandes de clients européens exposés après une cyberattaque",nouveau,,,,
2026-08-10,I-CAD,États-Unis,États-Unis,Finance / Assurance,Ransomware,Inconnu,Signal documenté par la source,60,"I-CAD, le fichier national d’identification des chiens, chats et furets, alerte ses usagers après plusieurs signalements de messages…",https://www.cyberattaque.org/i-cad-une-faille-de-securite-sur-le-fichier-national-des-chiens-et-chats/,Rattrapage 2026 Cyberattaque.org — I-CAD : une faille de sécurité sur le fichier national des chiens et chats,nouveau,,,,
