date,organisation,territoire,localisation,secteur,type_menace,acteur,statut,score_cyberattaque,impact_connu,source_urls,synthese,evolution
2026-08-16,Fédération Française de Motocyclisme,France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-motocyclisme-msvj2szkiclvx2gaoc,Rattrapage 2026 depuis l’archive FrenchBreaches — Fédération Française de Motocyclisme.,nouveau
2026-08-16,Fédération Française de Danse,France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-danse-msvjcwu35yln9jygazd,Rattrapage 2026 depuis l’archive FrenchBreaches — Fédération Française de Danse.,nouveau
2026-08-16,France-Casse,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/france-casse-msv87fj5v652mg9x2mn,Rattrapage 2026 depuis l’archive FrenchBreaches — France-Casse.,nouveau
2026-08-16,EVY,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/evy-msvpts753it09fb7vvf,Rattrapage 2026 depuis l’archive FrenchBreaches — EVY.,nouveau
2026-08-16,Cravero Motoculture (BlgCloud),France,France,Construction / BTP,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/cravero-motoculture-blgcloud-msv33dq9e4pzz9hsrts,Rattrapage 2026 depuis l’archive FrenchBreaches — Cravero Motoculture (BlgCloud).,nouveau
2026-08-16,Achat Or et Argent,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/achat-or-et-argent-mqguqijb2kwf64ad0w7,Rattrapage 2026 depuis l’archive FrenchBreaches — Achat Or et Argent.,nouveau
2026-08-15,Le Bon Matériel (BlgCloud),France,France,Numérique / Technologie,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/le-bon-mat-riel-blgcloud-mstkb430kht3b29drb,Rattrapage 2026 depuis l’archive FrenchBreaches — Le Bon Matériel (BlgCloud).,nouveau
2026-08-15,Fédération Française de Karaté,France,France,Sport,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/f-d-ration-fran-aise-de-karat-msu63ykvxde9hwoosba,Rattrapage 2026 depuis l’archive FrenchBreaches — Fédération Française de Karaté.,nouveau
2026-08-15,EVA Nantes Sud,France,France,Commerce / Distribution,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/eva-nantes-sud-mstk3dvhzt4kjp61n2,Rattrapage 2026 depuis l’archive FrenchBreaches — EVA Nantes Sud.,nouveau
2026-08-14,Scalingo,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/scalingo-mssmflhnh876wgausf,Rattrapage 2026 depuis l’archive FrenchBreaches — Scalingo.,nouveau
2026-08-14,France VAE,France,France,Inconnu,Fuite de données,Inconnu,Référencé par FrenchBreaches ; corroboration variable,50,Alerte référencée dans l’archive 2026 de FrenchBreaches ; détails à enrichir depuis la fiche source.,https://frenchbreaches.com/alertes/france-vae-mssluksuoixbxf5wvsr,Rattrapage 2026 depuis l’archive FrenchBreaches — France VAE.,nouveau
