corpus,date,organisation,territoire,localisation,registry_status,siren,ape,activity_or_gap,source
cyberattaque_org_2026,2026-08-09,Impact Centre Chrétien frappé par Qilin,France,France,not_found,,,,https://www.cyberattaque.org/impact-centre-chretien-frappe-par-qilin-passeports-permis-et-titres-de-sejour-deja-exposes/
cyberattaque_org_2026,2026-08-09,CLCV,États-Unis,États-Unis,non_french_or_unknown,,,,https://www.cyberattaque.org/cyberattaque-association-nationale-de-consommateurs-et-usagers/
cyberattaque_org_2026,2026-08-06,Détenteurs d’armes à nouveau dans le viseur,France,France,not_found,,,,https://www.cyberattaque.org/detenteurs-darmes-a-nouveau-dans-le-viseur-larmurerie-lavaux-confirme-une-cyberattaque/
cyberattaque_org_2026,2026-08-06,Bloctel,France,France,not_found,,,,https://www.cyberattaque.org/bloctel-3-millions-de-numeros-en-fuite/
cyberattaque_org_2026,2026-08-02,Groupe T2MC,France,Île-de-France,not_found,,,,https://www.cyberattaque.org/groupe-t2mc-82-000-cartes-didentite-et-rib-exposes-dans-une-fuite-massive/
cyberattaque_org_2026,2026-07-28,ERDIL,France,France,ambiguous,,,,https://www.cyberattaque.org/erdil-270-contacts-professionnels-et-les-comptes-wordpress-en-fuite/
cyberattaque_org_2026,2026-07-25,Productly.app,Inconnu,Non documenté publiquement,not_found,,,,https://www.cyberattaque.org/productly-app-57-403-comptes-exposes-apres-une-cyberattaque/
cyberattaque_org_2026,2026-07-22,Rassemblement National,France,France,taxonomy_gap,331309013,94.99Z,Associations,https://www.cyberattaque.org/rassemblement-national-une-base-wordpress-de-95-tables-en-fuite-apres-une-cyberattaque/
cyberattaque_org_2026,2026-07-16,EVA.gg,France,France,not_found,,,,https://www.cyberattaque.org/eva-gg-70-424-comptes-et-119-361-reservations-revendiques-apres-lexploitation-de-son-api-graphql/
cyberattaque_org_2026,2026-07-16,Croq’Vacances,France,France,not_found,,,,https://www.cyberattaque.org/croqvacances-72-916-personnes-et-24-go-de-documents-dans-une-fuite-massive/
